"BeatSheetID","TreeFK","Observer","Date","Time","WetLeaves","NumberOfLeaves","AverageLeafLength","Notes"
131091,"FEW","Indigo",2022-05-01,10:22:00,0,110,3,NA
131092,"FEX","Indigo",2022-05-01,10:23:00,0,95,6,NA
131093,"FEV","Indigo",2022-05-01,10:26:00,0,80,7,NA
131094,"FEZ","Indigo",2022-05-01,10:33:00,0,135,6,NA
131095,"FEY","Indigo",2022-05-01,10:37:00,0,60,7,NA
131096,"FEJ","Indigo",2022-05-01,10:49:00,0,135,7,NA
131097,"FEK","Indigo",2022-05-01,10:51:00,0,50,7,NA
131098,"FEG","Indigo",2022-05-01,10:55:00,0,25,8,NA
131099,"FEH","Indigo",2022-05-01,10:58:00,0,50,7,NA
131100,"FEI","Indigo",2022-05-01,11:02:00,0,60,7,NA
131101,"FDZ","Indigo",2022-05-01,11:12:00,0,30,9,NA
131102,"FDY","Indigo",2022-05-01,11:14:00,0,45,7,NA
131103,"FDW","Indigo",2022-05-01,11:18:00,0,60,8,NA
131104,"FDX","Indigo",2022-05-01,11:21:00,0,30,10,NA
131105,"FEA","Indigo",2022-05-01,11:22:00,0,55,8,NA
131106,"FDT","Indigo",2022-05-01,11:28:00,0,80,10,NA
131107,"FDR","Indigo",2022-05-01,11:32:00,0,25,9,NA
131108,"FDS","Indigo",2022-05-01,11:33:00,0,100,6,NA
131109,"FDU","Indigo",2022-05-01,11:37:00,0,25,7,NA
131110,"FDV","Indigo",2022-05-01,11:43:00,0,60,8,NA
131111,"FDN","Indigo",2022-05-01,11:51:00,0,65,6,NA
131112,"FDP","Indigo",2022-05-01,11:56:00,0,60,6,NA
131113,"FDQ","Indigo",2022-05-01,11:59:00,0,40,6,NA
131114,"FDM","Indigo",2022-05-01,12:02:00,0,115,5,NA
131115,"FDO","Indigo",2022-05-01,12:07:00,0,90,7,NA
131125,"BWT","Indigo",2022-05-02,12:35:00,0,65,7,NA
131126,"BWY","Indigo",2022-05-02,12:41:00,0,40,11,NA
131127,"BWX","Indigo",2022-05-02,12:44:00,0,70,12,NA
131128,"BWZ","Indigo",2022-05-02,12:46:00,0,115,5,NA
131129,"BWW","Indigo",2022-05-02,12:53:00,0,65,6,NA
131130,"BWV","Indigo",2022-05-02,12:58:00,0,30,8,NA
131131,"BWS","Indigo",2022-05-02,13:00:00,0,55,10,NA
131132,"BWQ","Indigo",2022-05-02,13:04:00,0,60,9,NA
131133,"BWU","Indigo",2022-05-02,13:06:00,0,70,11,NA
131134,"BWR","Indigo",2022-05-02,13:10:00,0,50,5,NA
131136,"BXQ","Indigo",2022-05-02,13:45:00,0,70,7,NA
131137,"BXT","Indigo",2022-05-02,13:48:00,1,65,7,NA
131138,"BXS","Indigo",2022-05-02,13:49:00,0,120,7,NA
