CircleID,SiteFK,Latitude,Longitude,RoadDistance
DF1,DF,35.981755,-79.017955,
DF2,DF,35.982229,-79.017697,
DF3,DF,35.983155,-79.017739,
DF4,DF,35.983989,-79.017566,
DF5,DF,35.984921,-79.015119,
ERSP1,ERSP,,,
ERSP2,ERSP,,,
ERSP3,ERSP,,,
ERSP4,ERSP,,,
ERSP6,ERSP,,,
JMNP1,JMNP,35.990025,-79.04989,
JMNP2,JMNP,35.989724,-79.048918,
JMNP3,JMNP,35.988467,-79.049569,
JMNP5,JMNP,35.989987,-79.048323,
JMNP8,JMNP,35.992616,-79.049606,
NCBG1,NCBG,,,
NCBG4,NCBG,,,
NCBG5,NCBG,,,
NCBG6,NCBG,,,
NCBG8,NCBG,,,
NCSU2,NCSU,35.788713,-78.674294,
NCSU3,NCSU,35.788509,-78.672804,
NCSU9,NCSU,35.784931,-78.676303,
NCSU10,NCSU,35.781277,-78.670547,
NCSU11,NCSU,35.781556,-78.670766,
PR2,PR,,,
PR4,PR,,,
PR8,PR,,,
PR9,PR,,,
PR11,PR,,,
UNC3,UNC,35.907494,-79.050079,
UNC4,UNC,35.907536,35.907536,
UNC8,UNC,35.908564,-79.049918,
UNC13,UNC,35.908099,-79.049339,
UNC14,UNC,35.909071,-79.04841,
