CircleID,SiteFK,Latitude,Longitude,LitterDepthmm,CanopyCoverEstimate,HerbCoverEstimate
DF1,DF,35.981755,-79.017955,20,3,2
DF2,DF,35.982229,-79.017697,40,4,1
DF3,DF,35.983155,-79.017739,25,4,1
DF4,DF,35.983989,-79.017566,25,4,2
DF5,DF,35.984921,-79.015119,10,4,2
ERSP1,ERSP,36.074203,-79.007574,15,4,1
ERSP2,ERSP,36.074701,-79.007121,20,3,3
ERSP3,ERSP,36.075232,-79.007482,40,3,1
ERSP4,ERSP,36.075972,-79.008085,15,4,3
ERSP6,ERSP,36.077407,-79.009062,40,3,3
JMNP1,JMNP,35.990025,-79.04989,20,3,2
JMNP2,JMNP,35.989724,-79.048918,25,4,1
JMNP3,JMNP,35.988467,-79.049569,40,3,1
JMNP5,JMNP,35.989987,-79.048323,30,4,2
JMNP8,JMNP,35.992616,-79.049606,25,4,2
NCBG1,NCBG,35.899412,-79.030799,15,3,3
NCBG4,NCBG,35.898078,-79.030654,25,4,2
NCBG5,NCBG,35.897443,-79.031929,30,4,1
NCBG6,NCBG,35.896966,-79.032681,40,4,1
NCBG8,NCBG,35.8981,-79.032421,25,4,2
NCSU2,NCSU,35.788713,-78.674294,10,2,3
NCSU3,NCSU,35.788509,-78.672804,10,2,1
NCSU9,NCSU,35.784931,-78.676303,5,2,1
NCSU10,NCSU,35.781277,-78.670547,25,3,1
NCSU11,NCSU,35.781556,-78.670766,50,3,1
UNC3,UNC,35.907494,-79.050079,30,1,1
UNC4,UNC,35.907536,35.907536,10,1,4
UNC8,UNC,35.908564,-79.049918,50,4,4
UNC13,UNC,35.908099,-79.049339,40,3,2
UNC14,UNC,35.909071,-79.04841,30,3,1
