family,hunt_group,diet_group,diet_parts,mouthparts
Aeolothripidae,,herbivore,"flowers,inverts",rasp
Agelenidae,ambush,predator,inverts,chelicerae
Alydidae,,herbivore,flowers,pierce
Anthocoridae,,predator,inverts,pierce
Anyphaenidae,pursuit,predator,inverts,chelicerae
Aphididae,,herbivore,sap,pierce
Apidae,,,,
Araneidae,,predator,inverts,chelicerae
Armadillidiidae,,scavenger,detritus,mandibles
Asilidae,pursuit,predator,inverts,pierce
Berytidae,,herbivore,sap,pierce
Bibionidae,,,,
Bostrichidae,,herbivore,wood,mandibles
Braconidae,,,,
Brentidae,,,,mandibles
Buprestidae,,herbivore,wood,mandibles
Cantharidae,pursuit,omnivore,"flowers,inverts",mandibles
Carabidae,pursuit,predator,inverts,mandibles
Carcinophoridae,,,,
Cerambycidae,,herbivore,"wood,flowers,sap,leaves",mandibles
Cercopidae,,herbivore,sap,pierce
Cerylonidae,,,,
Chalcididae,,,,
Chaoboridae,,,,
Chironomidae,,,,
Chloropidae,,,,
Chrysomelidae,,herbivore,leaves,mandibles
Chrysopidae,,predator,inverts,mandibles
Cicadellidae,,herbivore,sap,pierce
Cixiidae,,herbivore,sap,pierce
Cleridae,pursuit,predator,inverts,mandibles
Clubionidae,pursuit,predator,inverts,chelicerae
Coccinellidae,pursuit,predator,inverts,mandibles
Conopidae,,,,
Coreidae,,herbivore,sap,pierce
Corinnidae,pursuit,predator,inverts,chelicerae
Corylophidae,,fungivore,fungi,mandibles
Cosmetidae,,scavenger,detritus,chelicerae
Ctenidae,ambush,predator,inverts,chelicerae
Culicidae,,,,
Curculionidae,,herbivore,"leaves,flowers,wood",mandibles
Cydnidae,,herbivore,sap,pierce
Dictynidae,ambush,predator,inverts,chelicerae
Dolichopodidae,,,,
Drosophilidae,,,,
Dysderidae,pursuit,predator,inverts,chelicerae
Ectobiidae,,,,
Elateridae,,mixed,"flowers,inverts",mandibles
Ephydridae,,,,
Eulophidae,,,,
Eurytomidae,,,,
Flatidae,,herbivore,sap,pierce
Forficulidae,,scavenger,detritus,mandibles
Formicidae,,mixed,"inverts,flowers,leaves",mandibles
Fulgoridae,,herbivore,sap,pierce
Geometridae,,herbivore,leaves,mandibles
Gnaphosidae,pursuit,predator,inverts,chelicerae
Gryllidae,,scavenger,detritus,mandibles
Hemerobiidae,pursuit,predator,inverts,mandibles
Hesperiidae,,herbivore,"leaves,flowers",mandibles
Hippoboscidae,,,,
Ichneumonidae,,,,
Kateretidae,,herbivore,flowers,mandibles
Latridiidae,,scavenger,detritus,mandibles
Linyphiidae,ambush,predator,inverts,chelicerae
Lithobiidae,,predator,inverts,mandibles
Lycaenidae,,,,
Lycosidae,pursuit,predator,inverts,chelicerae
Machilidae,,scavenger,detritus,mandibles
Mantidae,ambush,predator,inverts,mandibles
Mantispidae,ambush,predator,inverts,mandibles
Melandryidae,,fungivore,"fungi,wood",mandibles
Meloidae,,herbivore,"leaves,flowers",mandibles
Melyridae,,predator,inverts,mandibles
Membracidae,,herbivore,sap,pierce
Miridae,,mixed,"sap,inverts",pierce
Mordellidae,,mixed,"leaves,flowers,wood,inverts",mandibles
Muscidae,,,,
Nitidulidae,,mixed,"fungi,flower,sap,inverts",mandibles
Noctuidae,,,,
Oecanthidae,,,,
Oxyopidae,ambush,predator,inverts,chelicerae
Pamphiliidae,,,,
Pentatomidae,,herbivore,sap,pierce
Perlidae,,,none,
Phalangiidae,,,,
Philodromidae,pursuit,predator,inverts,chelicerae
Philosciidae,,,,
Pholcidae,ambush,predator,inverts,chelicerae
Pleciidae,,,,
Porcellionidae,,scavenger,detritus,mandibles
Psychodidae,,,,
Psyllidae,,herbivore,sap,pierce
Ptilodactylidae,,herbivore,"wood,fungi",mandibles
Ptinidae,,herbivore,"wood,leaves",mandibles
Reduviidae,ambush,predator,inverts,pierce
Rhaphidophoridae,pursuit,omnivore,"inverts,detritus",mandibles
Rhopalidae,,herbivore,flowers,pierce
Saldidae,,predator,inverts,pierce
Salticidae,ambush,predator,inverts,chelicerae
Scarabaeidae,,mixed,"fungi,detritus,sap,leaves",mandibles
Sclerosomatidae,pursuit,omnivore,"inverts,flowers,fungi",mandibles
Scutelleridae,,herbivore,sap,pierce
Scutigeridae,pursuit,predator,inverts,mandibles
Sphecidae,,,,
Spirobolidae,,,,
Staphylinidae,pursuit,predator,inverts,mandibles
Stenotrachelidae,,herbivore,wood,mandibles
Stratiomyidae,,,,
Tachinidae,,,,
Tenebrionidae,,scavenger,"detritus,fungi",mandibles
Tephritidae,,,,
Tetragnathidae,ambush,predator,inverts,chelicerae
Tetrigidae,,herbivore,"roots,fungi",mandibles
Tettigoniidae,,herbivore,leaves,mandibles
Theridiidae,ambush,predator,inverts,chelicerae
Thomisidae,ambush,predator,inverts,chelicerae
Tingidae,,herbivore,leaves,pierce
Tipulidae,,,,
Torymidae,,,,
Trachelipodidae,,,,
Trigonidiidae,,scavenger,detritus,mandibles
Trogossitidae,pursuit,predator,inverts,mandibles
Vespidae,,,,
Xystodesmidae,,,,
Zopheridae,,herbivore,"wood,fungi",mandibles
Zoridae,pursuit,predator,inverts,chelicerae
