"FoliageArthID","BeatSheetFK","CCGroup","Length","Quantity","PhotoURL","CCNotes","TaxonLevel","Taxon","TotalMass","NumberWeighed","TaxonID"
105199,131093,"beetle",3,1,NA,NA,"family","Elateridae",3.2,1,113879
105200,131093,"ant",3,1,NA,NA,"genus","Crematogaster",0.8,1,574052
105202,131094,"ant",3,1,NA,NA,"genus","Lasius",0.3,1,154217
105203,131094,"beetle",3,1,NA,NA,"family","Elateridae",2.7,1,113879
105204,131094,"beetle",2,1,NA,NA,"order","Coleoptera",0.3,1,109216
105205,131094,"caterpillar",3,1,NA,NA,"family","Geometridae",0.2,1,117556
105207,131097,"ant",3,1,NA,NA,"species","Linepithema humile",1.5,1,575041
105208,131097,"spider",4,1,NA,NA,"family","Thomisidae",9.8,1,871543
105209,131097,"spider",2,1,NA,NA,"order","Araneae",1.4,1,82732
105210,131098,"fly",3,1,NA,NA,"order","Diptera",NA,0,118831
105213,131102,"beetle",4,1,NA,NA,"family","Elateridae",5.1,1,113879
105214,131102,"beetle",5,1,NA,NA,"family","Elateridae",8.7,1,113879
105216,131108,"ant",4,1,NA,NA,"species","Linepithema humile",2.3,1,575041
105220,131112,"ant",3,1,NA,NA,"genus","Brachymyrmex",0.9,1,573953
105222,131114,"ant",3,2,NA,"Same kind, lost 2","species","Linepithema humile",2.1,0,575041
105223,131114,"aphid",2,2,NA,NA,"family","Aphididae",0.6,2,109191
105226,131115,"ant",4,8,NA,"All same","species","Linepithema humile",11.8,8,575041
105241,131126,"ant",2,1,NA,NA,"genus","Tapinoma",0.4,1,154243
105242,131126,"truebugs",2,2,NA,NA,"genus","Corythucha",1.2,2,104215
105245,131128,"truebugs",3,2,NA,NA,"genus","Corythucha",0.7,2,104215
105248,131131,"spider",5,1,NA,NA,"family","Salticidae",10.5,1,871537
105249,131131,"truebugs",2,2,NA,NA,"genus","Corythucha",0.4,2,104215
105251,131133,"beetle",2,1,NA,NA,"species","Chilocorus stigma",1.8,1,114345
105252,131134,"other",2,1,NA,"Psocodea","order","Psocodea",0.7,1,998435
105254,131136,"truebugs",14,1,NA,NA,"species","Zelus luridus",65.7,1,107375
105255,131136,"truebugs",2,1,NA,NA,"genus","Corythucha",0.1,1,104215
105257,131138,"truebugs",5,1,NA,NA,"family","Miridae",9.5,1,104419
105259,131140,"other",3,9,NA,"Psocodea, all same","order","Trichoptera",NA,0,115095
105260,131140,"spider",2,1,NA,NA,"suborder","Heteroptera",0.3,1,103358
105261,131141,"beetle",3,1,NA,NA,"family","Mordellidae",3.1,1,114383
105263,131144,"other",2,2,NA,"Psocodea","order","Psocodea",0.2,2,998435
105264,131147,"beetle",5,1,NA,NA,"family","Elateridae",9.2,1,113879
105265,131148,"beetle",3,1,NA,NA,"family","Chrysomelidae",4,1,114509
105266,131148,"beetle",5,1,NA,NA,"family","Elateridae",10.8,1,113879
105267,131149,"beetle",11,1,NA,NA,"family","Elateridae",52.5,1,113879
105268,131149,"beetle",5,1,NA,NA,"family","Elateridae",11.8,1,113879
105270,131151,"moths",3,1,NA,"Lost","order","Lepidoptera",NA,0,117232
105275,131153,"beetle",2,1,NA,NA,"family","Mordellidae",0.7,1,114383
105280,131157,"beetle",3,1,NA,NA,"family","Mordellidae",0.9,1,114383
105281,131158,"other",3,1,NA,"Psocodea","order","Psocodea",0.2,1,998435
105282,131158,"caterpillar",5,1,"105282.jpeg",NA,"family","Geometridae",1.7,1,117556
105283,131160,"beetle",6,1,NA,NA,"family","Elateridae",10.8,1,113879
105284,131161,"ant",2,2,NA,NA,"genus","Crematogaster",1.3,2,574052
105286,131161,"other",2,1,NA,"Psocodea","order","Psocodea",0.2,1,998435
105289,131163,"beetle",2,1,NA,"Lost","order","Coleoptera",NA,0,109216
105290,131163,"moths",3,1,NA,NA,"order","Lepidoptera",1.1,1,117232
105293,131165,"beetle",3,1,NA,NA,"family","Curculionidae",2.8,1,114666
105295,131167,"beetle",2,1,NA,NA,"family","Curculionidae",3.2,1,114666
105296,131167,"spider",5,1,NA,NA,"family","Thomisidae",5.8,1,871543
105297,131169,"fly",2,1,NA,"Lost","order","Diptera",NA,0,118831
105300,131170,"moths",3,1,NA,"Lost","order","Lepidoptera",NA,0,117232
105303,131174,"beetle",4,1,NA,NA,"family","Elateridae",3.1,1,113879
105304,131175,"beetle",2,1,NA,NA,"family","Curculionidae",3.7,1,114666
105305,131175,"moths",4,1,NA,NA,"order","Lepidoptera",2.9,1,117232
205212,131100,"spider",2,1,NA,NA,"family","Araneidae",1.7,2,82737
105308,131177,"ant",2,1,NA,NA,"genus","Crematogaster",0.7,1,574052
105309,131178,"spider",5,1,NA,NA,"family","Salticidae",6.8,1,871537
105310,131178,"beetle",6,1,NA,NA,"family","Elateridae",12.8,1,113879
105311,131179,"other",2,1,NA,"Psocodea","order","Psocodea",0.3,1,998435
105313,131181,"spider",4,1,NA,NA,"family","Thomisidae",5.8,1,871543
105315,131184,"ant",3,1,NA,NA,"genus","Crematogaster",0.8,1,574052
105316,131184,"leafhopper",2,2,NA,"Lost","suborder","Auchenorrhyncha",NA,0,109167
105317,131184,"spider",5,1,NA,NA,"family","Salticidae",6,1,871537
105318,131186,"ant",8,1,NA,"Lost","family","Formicidae",NA,0,154193
105319,131187,"other",3,12,NA,"Trichoptera, all same, lost 9","order","Trichoptera",1.5,3,115095
105320,131188,"leafhopper",3,1,NA,NA,"family","Cicadellidae",1.8,1,109171
105322,131193,"ant",2,3,NA,NA,"genus","Forelius",0.6,3,573923
105323,131193,"truebugs",2,3,NA,"Tingidae","genus","Corythucha",2,3,104215
105324,131196,"spider",6,1,NA,"Lost","order","Araneae",NA,0,82732
105325,131196,"other",2,4,NA,"Psocodea, Lost 2","order","Psocodea",0.5,2,998435
105326,131197,"caterpillar",4,1,"105326.jpeg",NA,"order","Lepidoptera",1.8,1,117232
105327,131197,"beetle",2,1,NA,NA,"family","Curculionidae",4.6,1,114666
105328,131197,"leafhopper",6,1,NA,NA,"family","Membracidae",38.5,1,109170
105329,131197,"truebugs",2,1,NA,"Tingidae","genus","Corythucha",0.6,1,104215
105332,131204,"beetle",4,1,NA,"Elateridae","family","Elateridae",2.2,1,113879
105333,131204,"truebugs",2,1,NA,"Bright red mite mimic nymph","species","Rhinocapsus vanduzeei",0.8,1,106812
105334,131205,"moths",4,1,NA,NA,"order","Lepidoptera",1.5,1,117232
105335,131207,"other",11,1,NA,"Ephemeroptera","order","Ephemeroptera",10.7,1,100502
105337,131209,"moths",4,1,NA,NA,"order","Lepidoptera",2.2,1,117232
105338,131210,"beetle",10,1,NA,NA,"family","Elateridae",27.9,1,113879
105339,131212,"beetle",11,1,NA,"Elateridae","family","Elateridae",33.2,1,113879
105341,131214,"beetle",3,1,NA,NA,"family","Melyridae",0.6,1,113869
105343,131216,"beetle",8,1,NA,"Elateridae","family","Elateridae",13.2,1,113879
105344,131221,"other",2,1,NA,"Psocodea","order","Psocodea",0.9,1,998435
105346,131224,"other",12,1,NA,"Plecoptera","family","Perlidae",14.8,1,102914
105432,131311,"truebugs",4,1,NA,NA,"family","Miridae",6.9,1,104419
105435,131315,"truebugs",2,2,NA,NA,"genus","Corythucha",2.3,2,104215
105436,131318,"other",2,1,NA,"Psocodea","order","Psocodea",0.8,1,998435
105437,131321,"bee",2,1,NA,NA,"order","Hymenoptera",0.3,1,152741
105438,131321,"ant",3,1,NA,"Lost","family","Formicidae",NA,0,154193
105440,131322,"truebugs",2,1,NA,"Tingidae","genus","Corythucha",0.6,1,104215
105443,131326,"beetle",2,1,NA,NA,"family","Coccinellidae",3,1,114329
105444,131327,"other",3,3,NA,"Trichoptera, all same, lost 1","order","Trichoptera",1.8,2,115095
105445,131327,"beetle",2,1,NA,"larva","family","Coccinellidae",1,1,114329
105446,131329,"beetle",3,3,NA,NA,"family","Mordellidae",4.8,3,114383
205446,131329,NA,NA,NA,NA,NA,"family","Chrysomelidae",2.3,NA,114509
105451,131334,"bee",3,1,NA,NA,"order","Hymenoptera",NA,1,152741
105452,131334,"beetle",5,2,NA,NA,"family","Elateridae",24.5,2,113879
105453,131334,"truebugs",4,1,NA,NA,"family","Miridae",4.5,1,104419
105520,131424,"fly",3,1,NA,NA,"family","Chironomidae",0.5,1,127917
105522,131424,"other",2,1,NA,NA,"order","Psocodea",0.8,1,998435
105523,131425,"truebugs",4,1,NA,NA,"family","Miridae",6.6,1,104419
105524,131426,"bee",2,1,NA,NA,"family","Eurytomidae",NA,1,154008
205524,131426,NA,2,1,NA,NA,"order","Diptera",0.9,1,118831
105526,131429,"fly",2,1,NA,NA,"order","Diptera",0.4,1,118831
105528,131433,"beetle",2,1,NA,NA,"order","Coleoptera",0.5,1,109216
105529,131433,"beetle",4,1,NA,NA,"family","Mordellidae",3,1,114383
105530,131433,"fly",4,1,NA,NA,"order","Chironomidae",0.6,1,127917
105531,131434,"beetle",4,2,NA,NA,"family","Elateridae",7.5,2,113879
105534,131435,"leafhopper",4,1,NA,NA,"suborder","Auchenorrhyncha",NA,1,109167
105535,131436,"truebugs",3,1,NA,"nymph","family","Miridae",3.6,1,104419
105536,131436,"bee",2,1,NA,NA,"family","Braconidae",0.7,1,152867
105537,131437,"beetle",4,1,NA,NA,"family","Elateridae",5.3,1,113879
105539,131437,"truebugs",2,1,NA,NA,"family","Miridae",2.3,1,104419
105541,131438,"beetle",3,1,NA,NA,"family","Mordellidae",2.6,1,114383
105546,131442,"spider",5,1,NA,NA,"family","Salticidae",5.8,1,871537
105548,131443,"truebugs",8,1,NA,"nymph","family","Cicadellidae",20.9,1,109171
105553,131446,"truebugs",3,1,NA,NA,"family","Miridae",2.7,1,104419
105589,131474,"fly",2,1,NA,NA,"order","Diptera",0.1,1,118831
105590,131474,"other",2,1,NA,NA,"order","Psocodea",0.1,1,998435
105591,131476,"beetle",3,1,NA,NA,"species","Microtonus sericans",0.1,1,1
105599,131489,"beetle",3,1,NA,NA,"species","Microtonus sericans",1.2,1,1
105606,131493,"ant",3,1,NA,NA,"genus","Crematogaster",0.5,1,574052
105607,131493,"truebugs",15,1,"105607.jpeg",NA,"species","Zelus luridus",110.2,1,107375
105608,131493,"other",2,1,NA,NA,"order","Psocodea",0.5,1,998435
105632,131519,"spider",4,1,NA,NA,"family","Salticidae",5.2,1,871537
105633,131519,"leafhopper",6,1,NA,NA,"family","Cicadellidae",15.1,1,109171
105634,131519,"spider",2,1,NA,NA,"family","Thomisidae",0.8,1,871543
105646,131529,"beetle",2,1,NA,NA,"species","Microtonus sericans",0.6,1,1
105647,131529,"moths",4,1,NA,NA,"order","Lepidoptera",NA,1,117232
105653,131534,"ant",4,1,NA,NA,"genus","Dolichoderus",1.9,1,573918
105654,131534,"beetle",2,1,NA,NA,"species","Microtonus sericans",0.5,1,1
105655,131534,"beetle",4,1,NA,NA,"species","Microtonus sericans",1.8,1,1
105658,131537,"leafhopper",3,1,NA,NA,"suborder","Auchenorrhyncha",NA,1,109167
105660,131538,"spider",2,1,NA,NA,"family","Thomisidae",1,1,871543
106255,132049,"spider",2,1,NA,NA,"family","Thomisidae",0.7,1,871543
106256,132049,"other",2,1,NA,NA,"order","Psocodea",0.4,1,998435
105684,131567,"beetle",3,1,NA,NA,"family","Mordellidae",1.7,1,114383
105686,131569,"beetle",3,1,NA,NA,"species","Microtonus sericans",1.6,1,1
105687,131569,"beetle",5,1,NA,NA,"subfamily","Cetoniinae",26.5,1,678511
105688,131571,"beetle",5,1,NA,NA,"subfamily","Cetoniinae",19.6,1,678511
105689,131571,"spider",2,1,NA,NA,"family","Thomisidae",1.6,1,871543
105756,131613,"leafhopper",2,1,NA,NA,"suborder","Auchenorrhyncha",NA,1,109167
105757,131615,"grasshopper",6,1,NA,NA,"genus","Oecanthus",2.5,1,102363
105758,131615,"beetle",2,1,NA,NA,"species","Microtonus sericans",1.2,1,1
105760,131618,"other",2,1,NA,NA,"order","Psocodea",0,1,998435
105761,131620,"beetle",5,1,NA,NA,"family","Elateridae",6.5,1,113879
105762,131622,"beetle",3,1,NA,NA,"family","Mordellidae",2.7,1,114383
105763,131622,"aphid",2,1,NA,NA,"family","Aphididae",0.6,1,109191
105764,131623,"beetle",5,1,NA,NA,"family","Elateridae",10.8,1,113879
105765,131623,"beetle",3,1,NA,NA,"family","Mordellidae",2.3,1,114383
105770,131630,"beetle",2,1,NA,NA,"family","Curculionidae",2,1,114666
205771,131627,"beetle",3,1,NA,NA,"species","Microtonus sericans",0.5,1,1
105772,131634,"beetle",2,1,NA,NA,"species","Microtonus sericans",0.5,1,1
105773,131634,"other",3,1,NA,NA,"order","Psocodea",0.7,1,998435
105774,131635,"bee",2,2,NA,NA,"family","Braconidae",0.3,2,152867
205774,131635,"beetle",13,1,NA,NA,"family","Elateridae",59.3,1,113879
106021,131878,"grasshopper",3,1,NA,NA,"family","Gryllidae",5.3,1,102281
