circles,euclideanDistance,jaccardDissimilarity,treeDissimilarity,canopyCover,distanceToRoad,geographicDistance,forest_1km
DF1_DF2,15.331824574304042,0.4666666666666667,0,0.06,0.05285218946365569,0.057511296293998496,0
DF1_DF3,13.630021506531946,0.2666666666666667,0.6666666666666667,0.05,0.15554544698434808,0.1565587421381959,0
DF1_DF4,15.826056158670998,0.2941176470588235,0.6,0.01,0.24825146212577834,0.2503518143378299,0
DF1_DF5,16.00020341848113,0.375,0.75,0.04,0.3394417304005282,0.4345347894256653,0
DF1_ERSP1,18.445582228402923,0.4736842105263158,0.33333333333333337,0.03,0.3038624493740957,10.300569213829935,0.077997231
DF1_ERSP2,19.060202412383074,0.2941176470588235,0.5,0.08,0.29976584986586674,10.359368853765158,0.077997231
DF1_ERSP3,16.106390105509544,0.42105263157894735,0.5,0.02,0.2631880696655629,10.415028305208482,0.077997231
DF1_ERSP4,15.130375573330898,0.33333333333333337,0.33333333333333337,0.16,0.23964185513230496,10.49205553437816,0.077997231
DF1_ERSP6,17.947294812688643,0.4736842105263158,0.33333333333333337,0.1,0.28205290614473244,10.643725167799799,0.077997231
DF1_JMNP1,21.336096769121216,0.5,0.75,0.08,0.26990787195927146,3.0225502566931426,0.13063959400000003
DF1_JMNP2,16.805871929441906,0.47058823529411764,0.33333333333333337,0.06,0.3494085959445106,2.9289027902754303,0.13063959400000003
DF1_JMNP3,18.405480008145044,0.5263157894736843,0.6666666666666667,0.08,0.28494435193292283,2.9466409394616084,0.13063959400000003
DF1_JMNP5,19.87102318389754,0.4117647058823529,1,0.04,0.4078584420258296,2.886890721889778,0.13063959400000003
DF1_JMNP8,14.106027386060482,0.3529411764705882,0.33333333333333337,0.08,0.22783821403923507,3.098219613300555,0.13063959400000003
DF1_NCBG1,24.669067162823563,0.6,1,0.14,0.27379413318077517,9.209815119380039,0.430050245
DF1_NCBG4,13.799308705486927,0.2857142857142857,0.33333333333333337,0.06,0.195868449110529,9.355063520701885,0.430050245
