family,number,biomass,flies
Aphididae,706,469.2,m
Chrysomelidae,347,1623,y
Formicidae,291,692.8,m
Elateridae,173,1943.5,m
Curculionidae,148,740.3,m
Anyphaenidae,147,344.3,n
Mordellidae,146,283.1,y
NA,130,173.4,
Tingidae,121,59.8,y
Miridae,85,174.2,y
Melandryidae,81,80.2,y
Gryllidae,61,280.5,n
Araneidae,58,219.6,n
Cixiidae,49,52.4,y
Thomisidae,48,158,n
Cicadellidae,47,173.6,y
Salticidae,45,114.1,n
Coccinellidae,41,374,y
Cantharidae,28,209.2,y
Sclerosomatidae,28,1092.2,n
Reduviidae,23,247.9,y
Theridiidae,20,48.2,n
Linyphiidae,19,46.3,n
Tenebrionidae,17,77.8,m
Clubionidae,13,28.5,n
Tetragnathidae,13,90.4,n
Oecanthidae,12,109.5,y
Bostrichidae,10,3.4,m
Staphylinidae,10,9.2,m
Flatidae,7,74.6,y
Dictynidae,6,5.1,n
Membracidae,6,187.1,y
Pentatomidae,6,322.6,y
Philodromidae,5,8.8,n
Ptilodactylidae,5,29.8,y
Scarabaeidae,4,113.6,y
Melyridae,3,3.7,y
Psyllidae,3,1.4,n
Trigonidiidae,3,12.1,n
Alydidae,2,7.5,y
Buprestidae,2,21.7,y
Nitidulidae,2,2.3,y
Ptinidae,2,1.5,n
Rhopalidae,2,1.8,y
Berytidae,1,0.8,
Brentidae,1,29.2,
Cerambycidae,1,0.3,
Cercopidae,1,40.9,
Coreidae,1,37.4,
Fulgoridae,1,1.8,
Kateretidae,1,1.1,
Phalangiidae,1,76.9,
Scutelleridae,1,28.2,
Stenotrachelidae,1,1.8,
Tettigoniidae,1,142.7,
Trogossitidae,1,0.3,
Zopheridae,1,0.7,
Zoridae,1,0.4,
