"FoliageArthID","BeatSheetFK","CCGroup","Length","Quantity","PhotoURL","CCNotes","TaxonLevel","Taxon","TotalMass","NumberWeighed","TaxonID"
105199,131093,"beetle",3,1,NA,NA,"family","Elateridae",3.2,1,113879
105199,131093,"beetle",3,1,NA,NA,"family","Elateridae",3.2,1,113879
105200,131093,"ant",3,1,NA,NA,"genus","Crematogaster",0.8,1,574052
105200,131093,"ant",3,1,NA,NA,"genus","Crematogaster",0.8,1,574052
105202,131094,"ant",3,1,NA,NA,"genus","Lasius",0.3,1,154217
105202,131094,"ant",3,1,NA,NA,"genus","Lasius",0.3,1,154217
105203,131094,"beetle",3,1,NA,NA,"family","Elateridae",2.7,1,113879
105203,131094,"beetle",3,1,NA,NA,"family","Elateridae",2.7,1,113879
105204,131094,"beetle",2,1,NA,NA,"order","Coleoptera",0.3,1,109216
105204,131094,"beetle",2,1,NA,NA,"order","Coleoptera",0.3,1,109216
105205,131094,"caterpillar",3,1,NA,NA,"family","Geometridae",0.2,1,117556
105205,131094,"caterpillar",3,1,NA,NA,"family","Geometridae",0.2,1,117556
105206,131097,"ant",8,1,NA,NA,"genus","Camponotus",25.4,1,154194
105206,131097,"ant",8,1,NA,NA,"genus","Camponotus",25.4,1,154194
105207,131097,"ant",3,1,NA,NA,"species","Linepithema humile",1.5,1,575041
105207,131097,"ant",3,1,NA,NA,"species","Linepithema humile",1.5,1,575041
105208,131097,"spider",4,1,NA,NA,"family","Thomisidae",9.8,1,871543
105208,131097,"spider",4,1,NA,NA,"family","Thomisidae",9.8,1,871543
105209,131097,"spider",2,1,NA,NA,"order","Araneae",1.4,1,82732
105209,131097,"spider",2,1,NA,NA,"order","Araneae",1.4,1,82732
105210,131098,"fly",3,1,NA,NA,"order","Diptera",NA,0,118831
105210,131098,"fly",3,1,NA,NA,"order","Diptera",NA,0,118831
105211,131100,"spider",4,1,NA,NA,"family","Anyphaenidae",7.9,1,871515
105211,131100,"spider",4,1,NA,NA,"family","Anyphaenidae",7.9,1,871515
105212,131100,"spider",2,1,NA,NA,"family","Anyphaenidae",0.3,1,871515
105212,131100,"spider",2,1,NA,NA,"family","Anyphaenidae",0.3,1,871515
105213,131102,"beetle",4,1,NA,NA,"family","Elateridae",5.1,1,113879
105213,131102,"beetle",4,1,NA,NA,"family","Elateridae",5.1,1,113879
