FoliageArthID,BeatSheetFK,CCGroup,Length,Quantity,PhotoURL,CCNotes,TaxonLevel,Taxon,ITISID
105199,131093,beetle,3,1,NA,NA,order,Coleoptera,
105200,131093,ant,3,1,NA,NA,family,Formicidae,
105201,131093,fly,2,1,NA,NA,order,Diptera,
105202,131094,ant,3,1,NA,NA,family,Formicidae,
105203,131094,beetle,3,1,NA,NA,order,Coleoptera,
105204,131094,beetle,2,1,NA,NA,order,Coleoptera,
105205,131094,caterpillar,3,1,NA,NA,order,Lepidoptera,
105206,131097,ant,8,1,NA,NA,genus,Camponotus,
105207,131097,ant,3,1,NA,NA,species,Linepithema humile,
105208,131097,spider,4,1,NA,NA,family,Thomisidae,
105209,131097,spider,2,1,NA,NA,suborder,Ananeomorphae,
105210,131098,fly,3,1,NA,NA,order,Diptera,
105211,131100,spider,4,1,NA,NA,species,Hibana gracilis,
105212,131100,spider,2,1,NA,NA,family,Anyphaenidae,
105213,131102,beetle,4,1,NA,NA,order,Coleoptera,
105214,131102,beetle,5,1,NA,NA,order,Coleoptera,
105215,131106,bee,2,1,NA,NA,order,Hymenoptera,
105216,131108,ant,4,1,NA,NA,family,Formicidae,
105217,131108,spider,4,1,NA,NA,order,Araneae,
105218,131109,spider,2,1,NA,NA,family,Gnaphosidae,
105219,131109,truebugs,3,1,NA,NA,family,Anthocoridae,
105220,131112,ant,3,1,NA,NA,genus,Brachymyrmex,
105221,131112,spider,2,1,NA,NA,family,Anyphaenidae,
105222,131114,ant,3,2,NA,Same kind,family,Formicidae,
105223,131114,aphid,2,2,NA,NA,suborder,Sternorrhyncha,
105224,131114,spider,3,1,NA,NA,order,Araneae,
105225,131114,spider,4,2,NA,Same kind,order,Araneae,
105226,131115,ant,4,8,NA,All same,species,Linepithema humile,
105241,131126,ant,2,1,NA,NA,family,Formicidae,
105242,131126,truebugs,2,2,NA,NA,suborder,Heteroptera,
105243,131128,ant,2,9,NA,NA,family,Formicidae,
105244,131128,spider,3,1,NA,NA,order,Araneae,
105245,131128,truebugs,3,2,NA,NA,suborder,Heteroptera,
105246,131129,spider,3,1,NA,NA,order,Araneae,
105247,131130,beetle,3,1,NA,NA,order,Coleoptera,
105248,131131,spider,5,1,NA,NA,order,Araneae,
105249,131131,truebugs,2,2,NA,NA,suborder,Heteroptera,
105250,131131,truebugs,5,1,NA,NA,suborder,Heteroptera,
105251,131133,beetle,2,1,NA,NA,order,Coleoptera,
105252,131134,other,3,1,NA,Psocodea,NA,NA,
105254,131136,truebugs,14,1,NA,NA,suborder,Heteroptera,
105255,131136,truebugs,2,1,NA,NA,suborder,Heteroptera,
105256,131138,beetle,3,1,NA,NA,order,Coleoptera,
105257,131138,truebugs,5,1,NA,NA,suborder,Heteroptera,
105258,131139,spider,3,1,NA,NA,order,Araneae,
105259,131140,other,3,9,NA,"Psocodea, all same",NA,NA,
