GroundArthID,PitfallID,TaxonLevel,Taxon,Number,TotalMass,Notes,TaxonID
1,1,family,Stratiomyidae,1,9,larva,130150
2,1,order,Collembola,17,0.8,NA,99237
4,1,subfamily,Scolytinae,2,2.9,NA,678830
5,1,family,Corinnidae,1,1.5,NA,871519
6,2,family,Staphylinidae,1,0.6,NA,113265
7,2,order,Collembola,3,1,NA,99237
8,2,family,Lycosidae,1,58.2,NA,847731
9,3,genus,Armadillidium,1,13.2,NA,93249
10,3,order,Collembola,3,1.2,NA,99237
11,3,subfamily,Scolytinae,2,3.2,NA,678830
12,3,genus,Ceuthophilus,1,316.5,NA,657660
13,4,genus,Armadillidium,3,45.8,NA,93249
14,4,subfamily,Scolytinae,2,2.4,NA,678830
15,4,order,Collembola,9,0.6,NA,99237
16,4,order,Diptera,1,0.1,NA,118831
17,4,genus,Tapinoma,1,0.1,NA,154243
19,5,family,Curculionidae,1,4.4,NA,114666
20,5,family,Rhaphidophoridae,1,5,NA,650504
22,5,family,Apidae,1,0.2,NA,154394
24,5,order,Collembola,12,0.5,NA,99237
26,6,subfamily,Scolytinae,1,1.9,NA,678830
27,6,order,Collembola,3,0.1,NA,99237
28,6,genus,Armadillidium,2,27,NA,93249
29,6,species,Anisolabis maritima,1,50.4,NA,186048
30,7,subfamily,Scolytinae,1,0.1,NA,678830
33,7,family,Curculionidae,1,5.8,NA,114666
34,7,genus,Forelius,4,1.4,NA,573923
35,7,genus,Armadillidium,8,173.5,NA,93249
36,7,genus,Armadillidium,2,139.7,NA,93249
37,7,order,Collembola,6,0.1,NA,99237
38,7,order,Diptera,1,0.1,NA,118831
39,7,family,Cydnidae,1,22.3,NA,108550
42,8,species,Apheloria tigana,3,2738.4,NA,570770
43,8,order,Diptera,1,0.1,NA,118831
44,8,order,Collembola,3,0.5,NA,99237
45,8,suborder,Brachycera,1,0.1,NA,130052
46,8,suborder,Nematocera,1,0.8,NA,118832
48,8,genus,Armadillidium,26,354.5,NA,93249
49,8,genus,Armadillidium,1,113.2,NA,93249
51,9,order,Collembola,8,1.8,NA,99237
54,9,order,Diptera,1,1,NA,118831
55,9,family,Curculionidae,1,2.4,NA,114666
56,9,subfamily,Scolytinae,1,2.2,NA,678830
57,9,genus,Armadillidium,19,155.9,NA,93249
58,9,genus,Porcellio,2,30,NA,93267
