circles,euclideanDistance,jaccardDissimilarity,herbaceousCover,distanceToRoad,geographicDistance,litterDepth,forest_1km
DF1_DF2,13.220555422042832,0.4545454545454546,1,0.05285218946365569,0.057511296293998496,20,0
DF1_DF3,17.60244913815331,0.4,1,0.15554544698434808,0.1565587421381959,5,0
DF1_DF4,20.616498315125103,0.5,0,0.24825146212577834,0.2503518143378299,5,0
DF1_DF5,17.60647716607799,0.4545454545454546,0,0.3394417304005282,0.4345347894256653,10,0
DF1_ERSP1,10.515435433064821,0.2727272727272727,1,0.3038624493740957,10.300569213829935,5,0.077997231
DF1_ERSP2,13.891942869055828,0.2727272727272727,1,0.29976584986586674,10.359368853765158,0,0.077997231
DF1_ERSP3,19.30915385591643,0.36363636363636365,1,0.2631880696655629,10.415028305208482,20,0.077997231
DF1_ERSP4,10.89640086522545,0.25,1,0.23964185513230496,10.49205553437816,5,0.077997231
DF1_ERSP6,20.057046043412253,0.41666666666666663,1,0.28205290614473244,10.643725167799799,20,0.077997231
DF1_JMNP1,14.99097789145622,0.41666666666666663,0,0.26990787195927146,3.0225502566931426,0,0.13063959400000003
DF1_JMNP2,20.13383878913405,0.6363636363636364,1,0.3494085959445106,2.9289027902754303,5,0.13063959400000003
DF1_JMNP3,20.06651655589261,0.36363636363636365,1,0.28494435193292283,2.9466409394616084,20,0.13063959400000003
DF1_JMNP5,15.319639631876147,0.33333333333333337,0,0.4078584420258296,2.886890721889778,10,0.13063959400000003
DF1_JMNP8,17.82038102531748,0.3846153846153846,0,0.22783821403923507,3.098219613300555,5,0.13063959400000003
DF1_NCBG1,23.528050681333273,0.5454545454545454,1,0.27379413318077517,9.209815119380039,5,0.430050245
DF1_NCBG4,17.596357875750652,0.33333333333333337,0,0.195868449110529,9.355063520701885,5,0.430050245
DF1_NCBG5,20.025404353227838,0.4545454545454546,1,0.28129103831747354,9.439672955459846,10,0.430050245
DF1_NCBG6,21.69190303564031,0.6153846153846154,1,0.31387170028224287,9.501380041012315,20,0.430050245
DF1_NCBG8,22.90998896617024,0.6,0,0.35105664334079545,9.373510658165102,5,0.430050245
DF1_NCSU10,19.624606397279447,0.5,1,0.31722289940533155,38.4565995264595,5,0.8489754740000001
DF1_NCSU11,24.77139871770354,0.6666666666666667,1,0.35035855341720434,38.422519808579025,30,0.8489754740000001
DF1_NCSU2,20.265901965899474,0.5833333333333333,1,0.40664482199737795,37.70518961291116,10,0.8489754740000001
DF1_NCSU3,24.713660185579084,0.75,1,0.4161324391699623,37.828846556152975,10,0.8489754740000001
DF1_NCSU9,21.663068624131267,0.5,1,0.38849047214820615,37.79754033296411,15,0.8489754740000001
DF1_UNC13,25.53126331839811,0.6428571428571428,0,0.40108143601099,8.649374692212344,20,0.780717938
DF1_UNC14,24.4612077376292,0.6428571428571428,1,0.40650263439306655,8.520133932896417,10,0.780717938
DF1_UNC3,24.269685166985994,0.75,1,0.3955805440210621,8.734763451301763,10,0.780717938
DF1_UNC4,25.16120014728929,0.7142857142857143,2,0.41264376044073114,8.722279915776534,10,0.780717938
DF1_UNC8,19.21453196298526,0.5,2,0.4227387760505475,8.617977582766127,30,0.780717938
DF2_DF3,19.18614271927382,0.6363636363636364,0,0.10269325752069239,0.10281752894917429,15,0
DF2_DF4,19.485077572889214,0.5833333333333333,1,0.19539927266212265,0.19564430832056673,15,0
DF2_DF5,13.437963761094371,0.4,1,0.28658954093687256,0.3785153321764204,30,0
DF2_ERSP1,10.6144405770441,0.36363636363636365,0,0.35671463883775134,10.24609618809966,25,0.077997231
DF2_ERSP2,17.45077487977348,0.36363636363636365,2,0.35261803932952246,10.304832477128498,20,0.077997231
DF2_ERSP3,20.135903656348596,0.5833333333333333,0,0.3160402591292186,10.360558870773028,0,0.077997231
DF2_ERSP4,17.743796768955427,0.46153846153846156,2,0.2924940445959606,10.437695451700185,25,0.077997231
DF2_ERSP6,24.024724018321397,0.6153846153846154,2,0.33490509560838816,10.589546274855332,0,0.077997231
DF2_JMNP1,18.735763441208697,0.6153846153846154,1,0.3227600614229271,3.0292824340619413,20,0.13063959400000003
DF2_JMNP2,18.743436034443732,0.4444444444444444,0,0.40226078540816634,2.9357539754316786,15,0.13063959400000003
DF2_JMNP3,24.266421360337375,0.5833333333333333,0,0.3377965413965785,2.9563957501812266,0,0.13063959400000003
DF2_JMNP5,18.64288628399211,0.5384615384615384,1,0.4607106314894853,2.8928796729591095,10,0.13063959400000003
DF2_JMNP8,18.245051361131434,0.46153846153846156,1,0.28069040350289076,3.0997210141678972,15,0.13063959400000003
