family,number,biomass,flies
Formicidae,2085,10708.2,m
Armadillidiidae,2045,42009.5,n
Gryllidae,394,16499.2,n
Curculionidae,250,420.4,m
Porcellionidae,221,2896.1,n
Rhaphidophoridae,198,106192.8,n
Lycosidae,110,5617.9,n
Corinnidae,85,704.4,n
Nitidulidae,68,83.7,y
NA,56,16.2,
Carabidae,52,14290.8,m
Staphylinidae,49,2143.6,m
Linyphiidae,23,14.1,n
Machilidae,22,236.2,n
Cosmetidae,20,849.2,n
Scarabaeidae,12,910.4,y
Clubionidae,7,7,n
Gnaphosidae,5,30.2,n
Philosciidae,5,99.1,n
Sclerosomatidae,4,345.5,n
Chrysomelidae,3,45.9,y
Tenebrionidae,3,9.1,m
Ctenidae,2,49.2,y
Dysderidae,2,130,n
Trogossitidae,2,2.9,y
Agelenidae,1,3.1,
Anyphaenidae,1,0.2,
Coccinellidae,1,0.4,
Corylophidae,1,0.7,
Dictynidae,1,0.5,
Mordellidae,1,5,
Oxyopidae,1,5.5,
Pholcidae,1,6.7,
Salticidae,1,11.6,
Tetragnathidae,1,0.3,
Tetrigidae,1,144.5,
Trachelipodidae,1,7,
