GroundArthID,PitfallID,TaxonLevel,Taxon,Number,TotalMass,TaxonID,CircleID,DateCollected,Checks
3,1,order,Diptera,1,1.8,NA,JMNP1,5/3/2022,2
18,4,species,Brachyponera chinensis,1,1.5,NA,JMNP5,5/3/2022,2
21,5,species,Prenolepis imparis,2,3.5,577971,JMNP8,5/3/2022,2
23,5,genus,Formica,1,5.3,NA,JMNP8,5/3/2022,2
25,5,genus,Leiobunum,1,51.7,NA,JMNP8,5/3/2022,2
31,7,family,Nitidulidae,5,5.5,,UNC4,5/4/2022,2
32,7,family,Tenebrionidae,1,8.2,,UNC4,5/4/2022,2
40,7,family,Lithobiidae,1,72.8,555700,UNC4,5/4/2022,2
41,7,class,Diplopoda,1,42.7,,UNC4,5/4/2022,2
47,8,order,Diptera,1,2.5,,UNC8,5/4/2022,2
50,8,genus,Camponotus,3,44.6,154194,UNC8,5/4/2022,2
52,9,family,Corinnidae,2,1.4,,UNC13,5/4/2022,2
59,9,species,Brachyponera chinensis,37,53.5,,UNC13,5/4/2022,2
60,9,genus,Formica,4,32,,UNC13,5/4/2022,2
61,10,species,Brachyponera chinensis,1,1.5,,UNC14,5/4/2022,2
66,10,species,Trachelipus rathkii,1,7,684736,UNC14,5/4/2022,2
77,12,species,Prenolepis imparis,1,1,577971,JMNP2,5/5/2022,2
81,11,species,Prenolepis imparis,1,1,577971,JMNP1,5/5/2022,2
84,11,family,Pentatomidae,1,36.3,108628,JMNP1,5/5/2022,2
90,14,species,Brachyponera chinensis,1,1.3,,JMNP5,5/5/2022,2
92,14,family,Corinnidae,1,0.2,,JMNP5,5/5/2022,2
95,17,family,Dictynidae,1,0.5,,UNC4,5/6/2022,2
96,17,family,Salticidae,1,11.6,871537,UNC4,5/6/2022,2
97,17,family,Nitidulidae,2,1.5,,UNC4,5/6/2022,2
98,17,family,Hemerobiidae,1,0.4,115080,UNC4,5/6/2022,2
100,15,family,Nitidulidae,1,0.5,,JMNP8,5/5/2022,2
103,15,species,Prenolepis imparis,4,3.4,577971,JMNP8,5/5/2022,2
104,15,species,Brachyponera chinensis,4,5.1,,JMNP8,5/5/2022,2
