PitfallID,CircleID,DateDeployed,TimeDeployed,DateCollected,TimeCollected,Notes,Checks
1,JMNP1,5/1/2022,11:49:00,5/3/2022,09:54:00,NA,2
2,JMNP2,5/1/2022,11:26:00,5/3/2022,10:19:00,NA,1
3,JMNP3,5/1/2022,11:12:00,5/3/2022,10:38:00,NA,1
4,JMNP5,5/1/2022,10:46:00,5/3/2022,11:01:00,NA,2
5,JMNP8,5/1/2022,10:20:00,5/3/2022,11:22:00,NA,2
6,UNC3,5/2/2022,13:13:00,5/4/2022,11:34:00,NA,1
7,UNC4,5/2/2022,12:39:00,5/4/2022,10:59:00,NA,2
8,UNC8,5/2/2022,14:02:00,5/4/2022,10:51:00,NA,2
9,UNC13,5/2/2022,14:08:00,5/4/2022,10:30:00,NA,2
10,UNC14,5/2/2022,14:34:00,5/4/2022,10:06:00,NA,2
11,JMNP1,5/3/2022,09:54:00,5/5/2022,10:38:00,NA,2
12,JMNP2,5/3/2022,10:19:00,5/5/2022,10:11:00,NA,2
13,JMNP3,5/3/2022,10:38:00,5/5/2022,10:01:00,NA,1
14,JMNP5,5/3/2022,11:01:00,5/5/2022,09:32:00,NA,2
15,JMNP8,5/3/2022,11:22:00,5/5/2022,09:11:00,NA,2
16,UNC3,5/4/2022,11:34:00,5/6/2022,09:54:00,NA,1
17,UNC4,5/4/2022,10:59:00,5/6/2022,09:59:00,NA,2
18,UNC8,5/4/2022,10:51:00,5/6/2022,10:02:00,NA,2
19,UNC13,5/4/2022,10:30:00,5/6/2022,10:25:00,NA,2
20,UNC14,5/4/2022,10:06:00,5/6/2022,10:48:00,NA,2
21,NCBG1,5/8/2022,10:17:00,5/10/2022,11:37:00,NA,2
22,NCBG4,5/8/2022,10:36:00,5/10/2022,10:52:00,NA,2
23,NCBG5,5/8/2022,11:01:00,5/10/2022,10:23:00,NA,2
24,NCBG6,5/8/2022,11:14:00,5/10/2022,09:45:00,NA,1
25,NCBG8,5/8/2022,11:36:00,5/10/2022,09:06:00,NA,NA
26,NCBG1,5/10/2022,11:37:00,5/12/2022,09:05:00,NA,2
27,NCBG4,5/10/2022,10:52:00,5/12/2022,09:25:00,NA,2
28,NCBG5,5/10/2022,10:23:00,5/12/2022,09:42:00,NA,2
29,NCBG6,5/10/2022,09:45:00,5/12/2022,09:56:00,NA,2
30,NCBG8,5/10/2022,09:06:00,5/12/2022,10:12:00,NA,2
31,ERSP1,5/15/2022,10:10:00,5/17/2022,NA,Overturned,NA
32,ERSP2,5/15/2022,10:32:00,5/17/2022,14:29:00,NA,1
33,ERSP3,5/15/2022,10:47:00,5/17/2022,14:08:00,NA,2
34,ERSP4,5/15/2022,11:04:00,5/17/2022,13:46:00,NA,2
35,ERSP6,5/15/2022,11:17:00,5/17/2022,13:27:00,NA,2
36,DF1,5/16/2022,11:08:00,5/18/2022,12:04:00,NA,2
37,DF2,5/16/2022,11:31:00,5/18/2022,11:57:00,NA,2
38,DF3,5/16/2022,11:48:00,5/18/2022,11:54:00,NA,2
39,DF4,5/16/2022,12:01:00,5/18/2022,11:45:00,NA,2
40,DF5,5/16/2022,12:24:00,5/18/2022,11:26:00,NA,2
41,ERSP1,5/17/2022,13:00:00,5/19/2022,13:48:00,NA,2
42,ERSP2,5/17/2022,14:29:00,5/19/2022,14:08:00,NA,2
43,ERSP3,5/17/2022,14:08:00,5/19/2022,14:36:00,NA,2
44,ERSP4,5/17/2022,13:46:00,5/19/2022,14:50:00,NA,2
45,ERSP6,5/17/2022,13:27:00,5/19/2022,15:06:00,NA,2
46,DF1,5/18/2022,12:04:00,5/20/2022,13:06:00,NA,2
47,DF2,5/18/2022,11:57:00,5/20/2022,13:27:00,NA,2
48,DF3,5/18/2022,11:54:00,5/20/2022,13:38:00,NA,2
49,DF4,5/18/2022,11:45:00,5/20/2022,14:00:00,NA,2
50,DF5,5/18/2022,11:26:00,5/20/2022,14:17:00,NA,2
51,NCSU3,5/22/2022,10:06:00,5/24/2022,13:41:00,NA,2
52,NCSU2,5/22/2022,10:18:00,5/24/2022,13:26:00,NA,2
53,NCSU9,5/22/2022,11:15:00,5/24/2022,12:41:00,NA,2
54,NCSU11,5/22/2022,11:33:00,5/24/2022,12:27:00,NA,2
55,NCSU10,5/22/2022,11:54:00,5/24/2022,12:13:00,NA,2
56,NCSU3,5/24/2022,13:41:00,5/26/2022,09:25:00,NA,2
57,NCSU2,5/24/2022,13:26:00,5/26/2022,09:28:00,NA,2
58,NCSU9,5/24/2022,12:41:00,5/26/2022,10:14:00,NA,2
59,NCSU11,5/24/2022,12:27:00,5/26/2022,10:30:00,NA,2
60,NCSU10,5/24/2022,12:13:00,5/26/2022,10:44:00,NA,2
61,UNC14,5/25/2022,08:48:00,5/27/2022,13:41:00,NA,2
62,UNC13,5/25/2022,09:26:00,5/27/2022,14:03:00,NA,2
63,UNC8,5/25/2022,09:29:00,5/27/2022,14:08:00,NA,2
64,UNC4,5/25/2022,09:46:00,5/27/2022,14:30:00,NA,2
65,UNC3,5/25/2022,10:14:00,5/27/2022,14:54:00,NA,2
66,UNC14,5/27/2022,13:41:00,5/29/2022,11:15:00,NA,2
67,UNC13,5/27/2022,14:03:00,5/29/2022,11:01:00,NA,2
68,UNC8,5/27/2022,14:08:00,5/29/2022,10:47:00,Flooded,1
69,UNC4,5/27/2022,14:30:00,5/29/2022,10:43:00,NA,2
70,UNC3,5/27/2022,14:54:00,5/29/2022,10:11:00,NA,2
71,JMNP8,5/28/2022,10:45:00,5/30/2022,10:22:00,NA,2
72,JMNP5,5/28/2022,11:01:00,5/30/2022,10:06:00,NA,2
73,JMNP2,5/28/2022,11:26:00,5/30/2022,09:47:00,NA,1
74,JMNP3,5/28/2022,11:47:00,5/30/2022,09:36:00,NA,2
75,JMNP1,5/28/2022,12:08:00,5/30/2022,09:22:00,NA,2
76,JMNP8,5/30/2022,10:22:00,6/1/2022,09:02:00,NA,2
77,JMNP5,5/30/2022,10:06:00,6/1/2022,09:17:00,NA,1
78,JMNP2,5/30/2022,09:47:00,6/1/2022,09:37:00,NA,1
79,JMNP3,5/30/2022,09:36:00,6/1/2022,10:00:00,NA,2
80,JMNP1,5/30/2022,09:22:00,6/1/2022,10:22:00,NA,2
81,NCBG8,6/6/2022,09:00:00,6/8/2022,10:36:00,NA,2
82,NCBG6,6/6/2022,09:08:00,6/8/2022,10:21:00,NA,1
83,NCBG5,6/6/2022,09:28:00,6/8/2022,10:04:00,NA,2
84,NCBG4,6/6/2022,09:37:00,6/8/2022,09:48:00,NA,2
85,NCBG1,6/6/2022,10:12:00,6/8/2022,09:23:00,NA,1
86,NCBG8,6/8/2022,10:36:00,6/10/2022,12:08:00,NA,1
87,NCBG6,6/8/2022,10:21:00,6/10/2022,12:29:00,NA,2
88,NCBG5,6/8/2022,10:04:00,6/10/2022,12:46:00,NA,2
89,NCBG4,6/8/2022,09:48:00,6/10/2022,13:05:00,NA,1
90,NCBG1,6/8/2022,09:23:00,6/10/2022,13:20:00,NA,2
91,ERSP1,6/12/2022,10:53:00,6/14/2022,12:30:00,NA,2
92,ERSP2,6/12/2022,11:00:00,6/14/2022,12:39:00,NA,2
93,ERSP3,6/12/2022,11:22:00,6/14/2022,12:53:00,NA,2
94,ERSP4,6/12/2022,11:52:00,6/14/2022,13:05:00,NA,2
95,ERSP6,6/12/2022,12:09:00,6/14/2022,13:20:00,NA,2
96,ERSP1,6/14/2022,12:30:00,6/16/2022,11:20:00,NA,1
97,ERSP2,6/14/2022,12:39:00,6/16/2022,10:52:00,NA,1
98,ERSP3,6/14/2022,12:53:00,6/16/2022,10:29:00,NA,2
99,ERSP4,6/14/2022,13:05:00,6/16/2022,10:12:00,NA,1
100,ERSP6,6/14/2022,13:20:00,6/16/2022,10:03:00,NA,2
101,DF1,6/20/2022,08:44:00,6/22/2022,13:33:00,NA,1
