"PitfallID","CircleID","DateDeployed","TimeDeployed","DateCollected","TimeCollected"
1,"JMNP1","2022-05-01","11:49:00","2022-05-03","NA"
2,"JMNP2","2022-05-01","11:26:00","2022-05-03","NA"
3,"JMNP3","2022-05-01","11:12:00","2022-05-03","NA"
4,"JMNP5","2022-05-01","10:46:00","2022-05-03","NA"
5,"JMNP8","2022-05-01","10:20:00","2022-05-03","NA"
6,"UNC3","2022-05-02","13:13:00","2022-05-04","NA"
7,"UNC4","2022-05-02","12:39:00","2022-05-04","NA"
8,"UNC8","2022-05-02","14:02:00","2022-05-04","NA"
9,"UNC13","2022-05-02","14:08:00","2022-05-04","NA"
10,"UNC14","2022-05-02","14:34:00","2022-05-04","NA"
11,"JMNP1","2022-05-03",NA,"2022-05-05","NA"
12,"JMNP2","2022-05-03",NA,"2022-05-05","NA"
13,"JMNP3","2022-05-03",NA,"2022-05-05","NA"
14,"JMNP5","2022-05-03",NA,"2022-05-05","NA"
15,"JMNP8","2022-05-03",NA,"2022-05-05","NA"
16,"UNC3","2022-05-04",NA,"2022-05-06","NA"
17,"UNC4","2022-05-04",NA,"2022-05-06","NA"
18,"UNC8","2022-05-04",NA,"2022-05-06","NA"
19,"UNC13","2022-05-04",NA,"2022-05-06","NA"
20,"UNC14","2022-05-04",NA,"2022-05-06","NA"
21,"JMNP1","2022-05-03",NA,"2022-05-05","NA"
22,"JMNP2","2022-05-03",NA,"2022-05-05","NA"
23,"JMNP3","2022-05-03",NA,"2022-05-05","NA"
24,"JMNP5","2022-05-03",NA,"2022-05-05","NA"
25,"JMNP8","2022-05-03",NA,"2022-05-05","NA"
26,"UNC3","2022-05-06",NA,"2022-05-08","NA"
27,"UNC4","2022-05-06",NA,"2022-05-08","NA"
28,"UNC8","2022-05-06",NA,"2022-05-08","NA"
29,"UNC13","2022-05-06",NA,"2022-05-08","NA"
30,"UNC14","2022-05-06",NA,"2022-05-08","NA"
