"PitfallID","CircleID","DateDeployed","TimeDeployed","DateCollected","TimeCollected","Checks"
1,"JMNP1","2022-05-01","11:49:00","2022-05-03","-2209125960",1
2,"JMNP2","2022-05-01","11:26:00","2022-05-03","-2209124460",1
3,"JMNP3","2022-05-01","11:12:00","2022-05-03","-2209123320",1
4,"JMNP5","2022-05-01","10:46:00","2022-05-03","-2209121940",1
5,"JMNP8","2022-05-01","10:20:00","2022-05-03","-2209120680",1
6,"UNC3","2022-05-02","13:13:00","2022-05-04","-2209119960",1
7,"UNC4","2022-05-02","12:39:00","2022-05-04","-2209122060",1
8,"UNC8","2022-05-02","14:02:00","2022-05-04","-2209122540",1
9,"UNC13","2022-05-02","14:08:00","2022-05-04","-2209123800",1
10,"UNC14","2022-05-02","14:34:00","2022-05-04","-2209125240",1
11,"JMNP1","2022-05-03","09:54:00","2022-05-05","-2209123320",1
12,"JMNP2","2022-05-03","10:19:00","2022-05-05","-2209124940",1
13,"JMNP3","2022-05-03","10:38:00","2022-05-05","-2209125540",1
14,"JMNP5","2022-05-03","11:01:00","2022-05-05","-2209127280",1
15,"JMNP8","2022-05-03","11:22:00","2022-05-05","-2209128540",1
16,"UNC3","2022-05-04","11:34:00","2022-05-06","-2209125960",1
17,"UNC4","2022-05-04","10:59:00","2022-05-06","-2209125660",1
18,"UNC8","2022-05-04","10:51:00","2022-05-06","-2209125480",1
19,"UNC13","2022-05-04","10:30:00","2022-05-06","-2209124100",1
20,"UNC14","2022-05-04","10:06:00","2022-05-06","-2209122720",1
21,"NCBG1","2022-05-08","10:17:00","2022-05-10","-2209119780",NA
22,"NCBG4","2022-05-08","10:36:00","2022-05-10","-2209122480",NA
23,"NCBG5","2022-05-08","11:01:00","2022-05-10","-2209124220",NA
24,"NCBG6","2022-05-08","11:14:00","2022-05-10","-2209126500",NA
25,"NCBG8","2022-05-08","11:36:00","2022-05-10","-2209128840",NA
26,"NCBG1","2022-05-10","11:37:00","2022-05-12","-2209128900",NA
27,"NCBG4","2022-05-10","10:52:00","2022-05-12","-2209127700",NA
28,"NCBG5","2022-05-10","10:23:00","2022-05-12","-2209126680",NA
29,"NCBG6","2022-05-10","09:45:00","2022-05-12","-2209125840",NA
30,"NCBG8","2022-05-10","09:06:00","2022-05-12","-2209124880",NA
31,"ERSP1","2022-05-15","10:10:00","2022-05-17","NA",NA
32,"ERSP2","2022-05-15","10:32:00","2022-05-17","-2209109460",NA
33,"ERSP3","2022-05-15","10:47:00","2022-05-17","-2209110720",NA
34,"ERSP4","2022-05-15","11:04:00","2022-05-17","-2209112040",NA
35,"ERSP6","2022-05-15","11:17:00","2022-05-17","-2209113180",NA
36,"DF1","2022-05-16","11:08:00","2022-05-18","NULL",NA
37,"DF2","2022-05-16","11:31:00","2022-05-18","NULL",NA
38,"DF3","2022-05-16","11:48:00","2022-05-18","NULL",NA
39,"DF4","2022-05-16","12:01:00","2022-05-18","NULL",NA
40,"DF5","2022-05-16","12:24:00","2022-05-18","NULL",NA
41,"ERSP1","2022-05-17","13:00:00","2022-05-19","NULL",NA
42,"ERSP2","2022-05-17","14:29:00","2022-05-19","NULL",NA
43,"ERSP3","2022-05-17","14:08:00","2022-05-19","NULL",NA
44,"ERSP4","2022-05-17","13:46:00","2022-05-19","NULL",NA
45,"ERSP6","2022-05-17","13:27:00","2022-05-19","NULL",NA
46,"DF1","2022-05-18",NA,"2022-05-20","NULL",NA
47,"DF2","2022-05-18",NA,"2022-05-20","NULL",NA
48,"DF3","2022-05-18",NA,"2022-05-20","NULL",NA
49,"DF4","2022-05-18",NA,"2022-05-20","NULL",NA
50,"DF5","2022-05-18",NA,"2022-05-20","NULL",NA
