PitfallID,CircleID,DateDeployed,TimeDeployed,DateCollected,TimeCollected,Checks
1,JMNP1,5/1/2022,11:49:00,5/3/2022,9:54:00,1
2,JMNP2,5/1/2022,11:26:00,5/3/2022,10:19:00,1
3,JMNP3,5/1/2022,11:12:00,5/3/2022,10:38:00,1
4,JMNP5,5/1/2022,10:46:00,5/3/2022,11:01:00,1
5,JMNP8,5/1/2022,10:20:00,5/3/2022,11:22:00,1
6,UNC3,5/2/2022,13:13:00,5/4/2022,11:34:00,1
7,UNC4,5/2/2022,12:39:00,5/4/2022,10:59:00,1
8,UNC8,5/2/2022,14:02:00,5/4/2022,10:51:00,1
9,UNC13,5/2/2022,14:08:00,5/4/2022,10:30:00,1
10,UNC14,5/2/2022,14:34:00,5/4/2022,10:06:00,1
11,JMNP1,5/3/2022,9:54:00,5/5/2022,10:38:00,1
12,JMNP2,5/3/2022,10:19:00,5/5/2022,10:11:00,1
13,JMNP3,5/3/2022,10:38:00,5/5/2022,10:01:00,1
14,JMNP5,5/3/2022,11:01:00,5/5/2022,9:32:00,1
15,JMNP8,5/3/2022,11:22:00,5/5/2022,9:11:00,1
16,UNC3,5/4/2022,11:34:00,5/6/2022,9:54:00,1
17,UNC4,5/4/2022,10:59:00,5/6/2022,9:59:00,1
18,UNC8,5/4/2022,10:51:00,5/6/2022,10:02:00,1
19,UNC13,5/4/2022,10:30:00,5/6/2022,10:25:00,1
20,UNC14,5/4/2022,10:06:00,5/6/2022,10:48:00,1
21,NCBG1,5/8/2022,10:17:00,5/10/2022,11:37:00,1
22,NCBG4,5/8/2022,10:36:00,5/10/2022,10:52:00,1
23,NCBG5,5/8/2022,11:01:00,5/10/2022,10:23:00,1
24,NCBG6,5/8/2022,11:14:00,5/10/2022,9:45:00,1
25,NCBG8,5/8/2022,11:36:00,5/10/2022,9:06:00,NA
26,NCBG1,5/10/2022,11:37:00,5/12/2022,9:05:00,1
27,NCBG4,5/10/2022,10:52:00,5/12/2022,9:25:00,1
28,NCBG5,5/10/2022,10:23:00,5/12/2022,9:42:00,1
29,NCBG6,5/10/2022,9:45:00,5/12/2022,9:56:00,1
30,NCBG8,5/10/2022,9:06:00,5/12/2022,10:12:00,1
31,ERSP1,5/15/2022,10:10:00,5/17/2022,NA,NA
32,ERSP2,5/15/2022,10:32:00,5/17/2022,14:29:00,1
33,ERSP3,5/15/2022,10:47:00,5/17/2022,14:08:00,1
34,ERSP4,5/15/2022,11:04:00,5/17/2022,13:46:00,1
35,ERSP6,5/15/2022,11:17:00,5/17/2022,13:27:00,1
36,DF1,5/16/2022,11:08:00,5/18/2022,12:04:00,1
37,DF2,5/16/2022,11:31:00,5/18/2022,11:57:00,1
38,DF3,5/16/2022,11:48:00,5/18/2022,11:54:00,1
39,DF4,5/16/2022,12:01:00,5/18/2022,11:45:00,1
40,DF5,5/16/2022,12:24:00,5/18/2022,11:26:00,1
41,ERSP1,5/17/2022,13:00:00,5/19/2022,13:48:00,NA
42,ERSP2,5/17/2022,14:29:00,5/19/2022,14:08:00,NA
43,ERSP3,5/17/2022,14:08:00,5/19/2022,14:36:00,NA
44,ERSP4,5/17/2022,13:46:00,5/19/2022,14:50:00,NA
45,ERSP6,5/17/2022,13:27:00,5/19/2022,15:06:00,NA
46,DF1,5/18/2022,12:04:00,5/20/2022,13:06:00,NA
47,DF2,5/18/2022,11:57:00,5/20/2022,13:27:00,NA
48,DF3,5/18/2022,11:54:00,5/20/2022,13:38:00,NA
49,DF4,5/18/2022,11:45:00,5/20/2022,14:00:00,NA
50,DF5,5/18/2022,11:26:00,5/20/2022,14:17:00,NA
51,NCSU3,5/22/2022,10:06:00,5/24/2022,13:41:00,NA
52,NCSU2,5/22/2022,10:18:00,5/24/2022,13:26:00,NA
53,NCSU9,5/22/2022,11:15:00,5/24/2022,12:41:00,NA
54,NCSU11,5/22/2022,11:33:00,5/24/2022,12:27:00,NA
55,NCSU10,5/22/2022,11:54:00,5/24/2022,12:13:00,NA
56,NCSU3,5/24/2022,13:41:00,5/26/2022,9:25:00,NA
57,NCSU2,5/24/2022,13:26:00,5/26/2022,9:28:00,NA
58,NCSU9,5/24/2022,12:41:00,5/26/2022,10:14:00,NA
59,NCSU11,5/24/2022,12:27:00,5/26/2022,10:30:00,NA
60,NCSU10,5/24/2022,12:13:00,5/26/2022,10:44:00,NA
61,UNC14,5/25/2022,8:48:00,5/27/2022,NA,NA
62,UNC13,5/25/2022,9:26:00,5/27/2022,NA,NA
63,UNC8,5/25/2022,9:29:00,5/27/2022,NA,NA
64,UNC4,5/25/2022,9:46:00,5/27/2022,NA,NA
65,UNC3,5/25/2022,10:14:00,5/27/2022,NA,NA
66,UNC14,5/27/2022,NA,5/29/2022,NA,NA
67,UNC13,5/27/2022,NA,5/29/2022,NA,NA
68,UNC8,5/27/2022,NA,5/29/2022,NA,NA
69,UNC4,5/27/2022,NA,5/29/2022,NA,NA
70,UNC3,5/27/2022,NA,5/29/2022,NA,NA
