PitfallID,CircleID,DateDeployed,TimeDeployed,DateCollected,TimeCollected,Notes,Checks
1,JMNP1,5/1/2022,11:49:00,5/3/2022,9:54:00,NA,1
2,JMNP2,5/1/2022,11:26:00,5/3/2022,10:19:00,NA,1
3,JMNP3,5/1/2022,11:12:00,5/3/2022,10:38:00,NA,1
4,JMNP5,5/1/2022,10:46:00,5/3/2022,11:01:00,NA,1
5,JMNP8,5/1/2022,10:20:00,5/3/2022,11:22:00,NA,1
6,UNC3,5/2/2022,13:13:00,5/4/2022,11:34:00,NA,1
7,UNC4,5/2/2022,12:39:00,5/4/2022,10:59:00,NA,1
8,UNC8,5/2/2022,14:02:00,5/4/2022,10:51:00,NA,1
9,UNC13,5/2/2022,14:08:00,5/4/2022,10:30:00,NA,1
10,UNC14,5/2/2022,14:34:00,5/4/2022,10:06:00,NA,1
11,JMNP1,5/3/2022,9:54:00,5/5/2022,10:38:00,NA,1
12,JMNP2,5/3/2022,10:19:00,5/5/2022,10:11:00,NA,1
13,JMNP3,5/3/2022,10:38:00,5/5/2022,10:01:00,NA,1
14,JMNP5,5/3/2022,11:01:00,5/5/2022,9:32:00,NA,1
15,JMNP8,5/3/2022,11:22:00,5/5/2022,9:11:00,NA,1
16,UNC3,5/4/2022,11:34:00,5/6/2022,9:54:00,NA,1
17,UNC4,5/4/2022,10:59:00,5/6/2022,9:59:00,NA,1
18,UNC8,5/4/2022,10:51:00,5/6/2022,10:02:00,NA,1
19,UNC13,5/4/2022,10:30:00,5/6/2022,10:25:00,NA,1
20,UNC14,5/4/2022,10:06:00,5/6/2022,10:48:00,NA,1
21,NCBG1,5/8/2022,10:17:00,5/10/2022,11:37:00,NA,1
22,NCBG4,5/8/2022,10:36:00,5/10/2022,10:52:00,NA,1
23,NCBG5,5/8/2022,11:01:00,5/10/2022,10:23:00,NA,1
24,NCBG6,5/8/2022,11:14:00,5/10/2022,9:45:00,NA,1
25,NCBG8,5/8/2022,11:36:00,5/10/2022,9:06:00,NA,NA
26,NCBG1,5/10/2022,11:37:00,5/12/2022,9:05:00,NA,1
27,NCBG4,5/10/2022,10:52:00,5/12/2022,9:25:00,NA,1
28,NCBG5,5/10/2022,10:23:00,5/12/2022,9:42:00,NA,1
29,NCBG6,5/10/2022,9:45:00,5/12/2022,9:56:00,NA,1
30,NCBG8,5/10/2022,9:06:00,5/12/2022,10:12:00,NA,1
31,ERSP1,5/15/2022,10:10:00,5/17/2022,NA,Overturned,NA
32,ERSP2,5/15/2022,10:32:00,5/17/2022,14:29:00,NA,1
33,ERSP3,5/15/2022,10:47:00,5/17/2022,14:08:00,NA,1
34,ERSP4,5/15/2022,11:04:00,5/17/2022,13:46:00,NA,1
35,ERSP6,5/15/2022,11:17:00,5/17/2022,13:27:00,NA,1
36,DF1,5/16/2022,11:08:00,5/18/2022,12:04:00,NA,1
37,DF2,5/16/2022,11:31:00,5/18/2022,11:57:00,NA,1
38,DF3,5/16/2022,11:48:00,5/18/2022,11:54:00,NA,1
39,DF4,5/16/2022,12:01:00,5/18/2022,11:45:00,NA,1
40,DF5,5/16/2022,12:24:00,5/18/2022,11:26:00,NA,1
