tsn,taxon,class,subclass,infraclass,order,suborder,superfamily,family,infraorder,subfamily,genus,species,superorder,tribe,subgenus,subtribe
100502,Ephemeroptera,Insecta,Pterygota,Palaeoptera,Ephemeroptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1012454,Phalangiidae,Euchelicerata,Arachnida,NA,Opiliones,Eupnoi,Phalangioidea,Phalangiidae,NA,NA,NA,NA,NA,NA,NA,NA
1012885,Vonones,Euchelicerata,Arachnida,NA,Opiliones,Laniatores,Gonyleptoidea,Cosmetidae,Grassatores,Cosmetinae,Vonones,NA,NA,NA,NA,NA
1014097,Odiellus pictus,Euchelicerata,Arachnida,NA,Opiliones,Eupnoi,Phalangioidea,Phalangiidae,NA,NA,Odiellus,Odiellus pictus,NA,NA,NA,NA
1014189,Vonones sayi,Euchelicerata,Arachnida,NA,Opiliones,Laniatores,Gonyleptoidea,Cosmetidae,Grassatores,Cosmetinae,Vonones,Vonones sayi,NA,NA,NA,NA
102160,Orthoptera,Insecta,Pterygota,Neoptera,Orthoptera,NA,NA,NA,NA,NA,NA,NA,Polyneoptera,NA,NA,NA
102162,Tetrigidae,Insecta,Pterygota,Neoptera,Orthoptera,Caelifera,Tetrigoidea,Tetrigidae,Acrididea,NA,NA,NA,Polyneoptera,NA,NA,NA
102281,Gryllidae,Insecta,Pterygota,Neoptera,Orthoptera,Ensifera,Grylloidea,Gryllidae,Gryllidea,NA,NA,NA,Polyneoptera,NA,NA,NA
102363,Oecanthus,Insecta,Pterygota,Neoptera,Orthoptera,Ensifera,Grylloidea,Oecanthidae,Gryllidea,Oecanthinae,Oecanthus,NA,Polyneoptera,NA,NA,NA
102456,Forficulidae,Insecta,Pterygota,Neoptera,Dermaptera,Eudermaptera,Forficuloidea,Forficulidae,NA,NA,NA,NA,Polyneoptera,NA,NA,NA
102460,Carcinophoridae,Insecta,Pterygota,Neoptera,Dermaptera,Catadermaptera,Pygidicranoidea,Carcinophoridae,NA,NA,NA,NA,Polyneoptera,NA,NA,NA
102467,Plecoptera,Insecta,Pterygota,Neoptera,Plecoptera,NA,NA,NA,NA,NA,NA,NA,Polyneoptera,NA,NA,NA
102914,Perlidae,Insecta,Pterygota,Neoptera,Plecoptera,Systellognatha,NA,Perlidae,NA,NA,NA,NA,Polyneoptera,NA,NA,NA
103251,Perlesta,Insecta,Pterygota,Neoptera,Plecoptera,Systellognatha,NA,Perlidae,NA,Acroneuriinae,Perlesta,NA,Polyneoptera,Acroneuriini,NA,NA
103348,Thysanoptera,Insecta,Pterygota,Neoptera,Thysanoptera,NA,NA,NA,NA,NA,NA,NA,Paraneoptera,NA,NA,NA
103350,Aeolothripidae,Insecta,Pterygota,Neoptera,Thysanoptera,Terebrantia,NA,Aeolothripidae,NA,NA,NA,NA,Paraneoptera,NA,NA,NA
103358,Heteroptera,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,NA,NA,NA,NA,NA,NA,Paraneoptera,NA,NA,NA
103359,Hemiptera,Insecta,Pterygota,Neoptera,Hemiptera,NA,NA,NA,NA,NA,NA,NA,Paraneoptera,NA,NA,NA
104063,Saldidae,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Saldoidea,Saldidae,Leptopodomorpha,NA,NA,NA,Paraneoptera,NA,NA,NA
104177,Tingidae,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Miroidea,Tingidae,Cimicomorpha,NA,NA,NA,Paraneoptera,NA,NA,NA
104215,Corythucha,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Miroidea,Tingidae,Cimicomorpha,Tinginae,Corythucha,NA,Paraneoptera,Tingini,NA,NA
104419,Miridae,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Miroidea,Miridae,Cimicomorpha,NA,NA,NA,Paraneoptera,NA,NA,NA
106812,Rhinocapsus vanduzeei,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Miroidea,Miridae,Cimicomorpha,Phylinae,Rhinocapsus,Rhinocapsus vanduzeei,Paraneoptera,Phylini,NA,NA
106903,Anthocoridae,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Cimicoidea,Anthocoridae,Cimicomorpha,NA,NA,NA,Paraneoptera,NA,NA,NA
107202,Reduviidae,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Reduvoidea,Reduviidae,Cimicomorpha,NA,NA,NA,Paraneoptera,NA,NA,NA
107375,Zelus luridus,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Reduvoidea,Reduviidae,Cimicomorpha,Harpactorinae,Zelus,Zelus luridus,Paraneoptera,Harpactorini,NA,NA
