TaxonID,taxon,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,genus,species,subfamily,tribe,subgenus,subtribe
154267,Polistes fuscatus,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Aculeata,Vespoidea,Vespidae,Polistes,Polistes fuscatus,NA,NA,NA,NA
113906,Melanotus,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Melanotus,NA,NA,NA,NA,NA
574052,Crematogaster,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Aculeata,Vespoidea,Formicidae,Crematogaster,NA,Myrmicinae,Crematogastrini,NA,NA
154217,Lasius,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Aculeata,Vespoidea,Formicidae,Lasius,NA,Formicinae,Lasiini,NA,NA
109216,Coleoptera,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117556,Geometridae,Insecta,Pterygota,Neoptera,Holometabola,Lepidoptera,NA,NA,Geometroidea,Geometridae,NA,NA,NA,NA,NA,NA
154194,Camponotus,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Aculeata,Vespoidea,Formicidae,Camponotus,NA,Formicinae,Camponotini,NA,NA
575041,Linepithema humile,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Aculeata,Vespoidea,Formicidae,Linepithema,Linepithema humile,Dolichoderinae,NA,NA,NA
871543,Thomisidae,Euchelicerata,Arachnida,NA,NA,Araneae,NA,NA,NA,Thomisidae,NA,NA,NA,NA,NA,NA
82732,Araneae,Euchelicerata,Arachnida,NA,NA,Araneae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118831,Diptera,Insecta,Pterygota,Neoptera,Holometabola,Diptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
881342,Hibana gracilis,Euchelicerata,Arachnida,NA,NA,Araneae,NA,NA,NA,Anyphaenidae,Hibana,Hibana gracilis,NA,NA,NA,NA
871515,Anyphaenidae,Euchelicerata,Arachnida,NA,NA,Araneae,NA,NA,NA,Anyphaenidae,NA,NA,NA,NA,NA,NA
141828,Conopidae,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Brachycera,Muscomorpha,NA,Conopidae,NA,NA,NA,NA,NA,NA
185556,Gnaphosidae,Euchelicerata,Arachnida,NA,NA,Araneae,NA,NA,NA,Gnaphosidae,NA,NA,NA,NA,NA,NA
106903,Anthocoridae,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Cimicomorpha,Cimicoidea,Anthocoridae,NA,NA,NA,NA,NA,NA
573953,Brachymyrmex,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Aculeata,Vespoidea,Formicidae,Brachymyrmex,NA,Formicinae,Brachymyrmecini,NA,NA
109191,Aphididae,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,Sternorrhyncha,NA,Aphidoidea,Aphididae,NA,NA,NA,NA,NA,NA
154243,Tapinoma,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Aculeata,Vespoidea,Formicidae,Tapinoma,NA,Dolichoderinae,NA,NA,NA
104215,Corythucha,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Cimicomorpha,Miroidea,Tingidae,Corythucha,NA,Tinginae,Tingini,NA,NA
871533,Philodromidae,Euchelicerata,Arachnida,NA,NA,Araneae,NA,NA,NA,Philodromidae,NA,NA,NA,NA,NA,NA
