"TaxonID","taxon","class","order","suborder","family","subfamily","genus","species"
"200146","Iolania perkinsi","Insecta","Hemiptera","Auchenorrhyncha","Cixiidae",NA,"Iolania","Iolania perkinsi"
"871511","Agelenidae","Euchelicerata","Araneae",NA,"Agelenidae",NA,NA,NA
"200146","Iolania perkinsi","Insecta","Hemiptera","Auchenorrhyncha","Cixiidae",NA,"Iolania","Iolania perkinsi"
"82743","Linyphiidae","Euchelicerata","Araneae",NA,"Linyphiidae",NA,NA,NA
"108313","Coreidae","Insecta","Hemiptera","Heteroptera","Coreidae",NA,NA,NA
"573919","Dorymyrmex","Insecta","Hymenoptera","Apocrita","Formicidae","Dolichoderinae","Dorymyrmex",NA
"678369","Zopheridae","Insecta","Coleoptera","Polyphaga","Zopheridae",NA,NA,NA
"893222","Zora pumila","Euchelicerata","Araneae",NA,"Zoridae",NA,"Zora","Zora pumila"
"108249","Alydidae","Insecta","Hemiptera","Heteroptera","Alydidae",NA,NA,NA
"117278","Hesperiidae","Insecta","Lepidoptera",NA,"Hesperiidae",NA,NA,NA
"926480","Macrodactylus","Insecta","Coleoptera","Polyphaga","Scarabaeidae","Melolonthinae","Macrodactylus",NA
"848796","Micrathena","Euchelicerata","Araneae",NA,"Araneidae",NA,"Micrathena",NA
"847901","Araneus","Euchelicerata","Araneae",NA,"Araneidae",NA,"Araneus",NA
"1012460","Sclerosomatidae","Euchelicerata","Opiliones","Eupnoi","Sclerosomatidae",NA,NA,NA
"115079","Mantispidae","Insecta","Neuroptera","Hemerobiiformia","Mantispidae",NA,NA,NA
"871524","Dictynidae","Euchelicerata","Araneae",NA,"Dictynidae",NA,NA,NA
"102398","Stagmomantis carolina","Insecta","Mantodea","Mantodea","Mantidae",NA,"Stagmomantis","Stagmomantis carolina"
"109020","Scutelleridae","Insecta","Hemiptera","Heteroptera","Scutelleridae",NA,NA,NA
"871833","Castianeira","Euchelicerata","Araneae",NA,"Corinnidae",NA,"Castianeira",NA
"563886","Hexapoda",NA,NA,NA,NA,NA,NA,NA
"855479","Dysdera crocata","Euchelicerata","Araneae",NA,"Dysderidae",NA,"Dysdera","Dysdera crocata"
"871520","Ctenidae","Euchelicerata","Araneae",NA,"Ctenidae",NA,NA,NA
"690741","Pseudoscorpiones","Euchelicerata","Pseudoscorpiones",NA,NA,NA,NA,NA
"331670","Porcellionidae","Malacostraca","Isopoda","Oniscidea","Porcellionidae",NA,NA,NA
"913657","Scutigeridae","Chilopoda","Scutigeromorpha",NA,"Scutigeridae",NA,NA,NA
"847751","Pholcidae","Euchelicerata","Araneae",NA,"Pholcidae",NA,NA,NA
"200146","Iolania perkinsi","Insecta","Hemiptera","Auchenorrhyncha","Cixiidae",NA,"Iolania","Iolania perkinsi"
"109182","Flatidae","Insecta","Hemiptera","Auchenorrhyncha","Flatidae",NA,NA,NA
"109174","Cixiidae","Insecta","Hemiptera","Auchenorrhyncha","Cixiidae",NA,NA,NA
"154219","Monomorium","Insecta","Hymenoptera","Apocrita","Formicidae","Myrmicinae","Monomorium",NA
"999558","Kateretidae","Insecta","Coleoptera","Polyphaga","Kateretidae",NA,NA,NA
"102232","Tettigoniidae","Insecta","Orthoptera","Ensifera","Tettigoniidae",NA,NA,NA
"873222","Tmarus","Euchelicerata","Araneae",NA,"Thomisidae",NA,"Tmarus",NA
"1012856","Leiobunum","Euchelicerata","Opiliones","Eupnoi","Sclerosomatidae","Leiobuninae","Leiobunum",NA
"109187","Psyllidae","Insecta","Hemiptera","Sternorrhyncha","Psyllidae",NA,NA,NA
"154400","Chilopoda","Chilopoda",NA,NA,NA,NA,NA,NA
"914219","Blattodea","Insecta","Blattodea",NA,NA,NA,NA,NA
"92120","Isopoda","Malacostraca","Isopoda",NA,NA,NA,NA,NA
"154267","Polistes fuscatus","Insecta","Hymenoptera","Apocrita","Vespidae",NA,"Polistes","Polistes fuscatus"
"113906","Melanotus","Insecta","Coleoptera","Polyphaga","Elateridae",NA,"Melanotus",NA
"574052","Crematogaster","Insecta","Hymenoptera","Apocrita","Formicidae","Myrmicinae","Crematogaster",NA
"154217","Lasius","Insecta","Hymenoptera","Apocrita","Formicidae","Formicinae","Lasius",NA
"109216","Coleoptera","Insecta","Coleoptera",NA,NA,NA,NA,NA
"117556","Geometridae","Insecta","Lepidoptera",NA,"Geometridae",NA,NA,NA
"154194","Camponotus","Insecta","Hymenoptera","Apocrita","Formicidae","Formicinae","Camponotus",NA
"575041","Linepithema humile","Insecta","Hymenoptera","Apocrita","Formicidae","Dolichoderinae","Linepithema","Linepithema humile"
"871543","Thomisidae","Euchelicerata","Araneae",NA,"Thomisidae",NA,NA,NA
"82732","Araneae","Euchelicerata","Araneae",NA,NA,NA,NA,NA
"118831","Diptera","Insecta","Diptera",NA,NA,NA,NA,NA
"881342","Hibana gracilis","Euchelicerata","Araneae",NA,"Anyphaenidae",NA,"Hibana","Hibana gracilis"
"871515","Anyphaenidae","Euchelicerata","Araneae",NA,"Anyphaenidae",NA,NA,NA
"141828","Conopidae","Insecta","Diptera","Brachycera","Conopidae",NA,NA,NA
"185556","Gnaphosidae","Euchelicerata","Araneae",NA,"Gnaphosidae",NA,NA,NA
"106903","Anthocoridae","Insecta","Hemiptera","Heteroptera","Anthocoridae",NA,NA,NA
"573953","Brachymyrmex","Insecta","Hymenoptera","Apocrita","Formicidae","Formicinae","Brachymyrmex",NA
"109191","Aphididae","Insecta","Hemiptera","Sternorrhyncha","Aphididae",NA,NA,NA
"154243","Tapinoma","Insecta","Hymenoptera","Apocrita","Formicidae","Dolichoderinae","Tapinoma",NA
"104215","Corythucha","Insecta","Hemiptera","Heteroptera","Tingidae","Tinginae","Corythucha",NA
"871533","Philodromidae","Euchelicerata","Araneae",NA,"Philodromidae",NA,NA,NA
"847764","Tetragnathidae","Euchelicerata","Araneae",NA,"Tetragnathidae",NA,NA,NA
"678391","Latridiidae","Insecta","Coleoptera","Polyphaga","Latridiidae",NA,NA,NA
"871537","Salticidae","Euchelicerata","Araneae",NA,"Salticidae",NA,NA,NA
"107642","Berytidae","Insecta","Hemiptera","Heteroptera","Berytidae",NA,NA,NA
"114345","Chilocorus stigma","Insecta","Coleoptera","Polyphaga","Coccinellidae","Chilocorinae","Chilocorus","Chilocorus stigma"
"998435","Psocodea","Insecta","Psocodea",NA,NA,NA,NA,NA
"107375","Zelus luridus","Insecta","Hemiptera","Heteroptera","Reduviidae","Harpactorinae","Zelus","Zelus luridus"
"104063","Saldidae","Insecta","Hemiptera","Heteroptera","Saldidae",NA,NA,NA
"104419","Miridae","Insecta","Hemiptera","Heteroptera","Miridae",NA,NA,NA
"82737","Araneidae","Euchelicerata","Araneae",NA,"Araneidae",NA,NA,NA
"115095","Trichoptera","Insecta","Trichoptera",NA,NA,NA,NA,NA
"103358","Heteroptera","Insecta","Hemiptera","Heteroptera",NA,NA,NA,NA
"114383","Mordellidae","Insecta","Coleoptera","Polyphaga","Mordellidae",NA,NA,NA
"114509","Chrysomelidae","Insecta","Coleoptera","Polyphaga","Chrysomelidae",NA,NA,NA
"113879","Elateridae","Insecta","Coleoptera","Polyphaga","Elateridae",NA,NA,NA
"117232","Lepidoptera","Insecta","Lepidoptera",NA,NA,NA,NA,NA
"577971","Prenolepis imparis","Insecta","Hymenoptera","Apocrita","Formicidae","Formicinae","Prenolepis","Prenolepis imparis"
"1014097","Odiellus pictus","Euchelicerata","Opiliones","Eupnoi","Phalangiidae",NA,"Odiellus","Odiellus pictus"
"904027","Arrenodes minutus","Insecta","Coleoptera","Polyphaga","Brentidae","Brentinae","Arrenodes","Arrenodes minutus"
"113852","Cleridae","Insecta","Coleoptera","Polyphaga","Cleridae",NA,NA,NA
"114419","Tenebrionidae","Insecta","Coleoptera","Polyphaga","Tenebrionidae",NA,NA,NA
"114666","Curculionidae","Insecta","Coleoptera","Polyphaga","Curculionidae",NA,NA,NA
"114472","Ptinidae","Insecta","Coleoptera","Polyphaga","Ptinidae",NA,NA,NA
"109167","Auchenorrhyncha","Insecta","Hemiptera","Auchenorrhyncha",NA,NA,NA,NA
"154193","Formicidae","Insecta","Hymenoptera","Apocrita","Formicidae",NA,NA,NA
"109171","Cicadellidae","Insecta","Hemiptera","Auchenorrhyncha","Cicadellidae",NA,NA,NA
"114968","Buprestidae","Insecta","Coleoptera","Polyphaga","Buprestidae",NA,NA,NA
"573923","Forelius","Insecta","Hymenoptera","Apocrita","Formicidae","Dolichoderinae","Forelius",NA
"109170","Membracidae","Insecta","Hemiptera","Auchenorrhyncha","Membracidae",NA,NA,NA
"106812","Rhinocapsus vanduzeei","Insecta","Hemiptera","Heteroptera","Miridae","Phylinae","Rhinocapsus","Rhinocapsus vanduzeei"
"100502","Ephemeroptera","Insecta","Ephemeroptera",NA,NA,NA,NA,NA
"113869","Melyridae","Insecta","Coleoptera","Polyphaga","Melyridae",NA,NA,NA
"154224","Paratrechina","Insecta","Hymenoptera","Apocrita","Formicidae","Formicinae","Paratrechina",NA
"102914","Perlidae","Insecta","Plecoptera","Systellognatha","Perlidae",NA,NA,NA
"152741","Hymenoptera","Insecta","Hymenoptera",NA,NA,NA,NA,NA
"114329","Coccinellidae","Insecta","Coleoptera","Polyphaga","Coccinellidae",NA,NA,NA
"154211","Formica","Insecta","Hymenoptera","Apocrita","Formicidae","Formicinae","Formica",NA
"809008","Ptosima gibbicollis","Insecta","Coleoptera","Polyphaga","Buprestidae","Polycestinae","Ptosima","Ptosima gibbicollis"
"127917","Chironomidae","Insecta","Diptera","Nematocera","Chironomidae",NA,NA,NA
"154008","Eurytomidae","Insecta","Hymenoptera","Apocrita","Eurytomidae",NA,NA,NA
"147644","Chloropidae","Insecta","Diptera","Brachycera","Chloropidae",NA,NA,NA
"152867","Braconidae","Insecta","Hymenoptera","Apocrita","Braconidae",NA,NA,NA
"132394","Asilidae","Insecta","Diptera","Brachycera","Asilidae",NA,NA,NA
"114452","Melandryidae","Insecta","Coleoptera","Polyphaga","Melandryidae",NA,NA,NA
"108764","Banasa calva","Insecta","Hemiptera","Heteroptera","Pentatomidae","Pentatominae","Banasa","Banasa calva"
"573918","Dolichoderus","Insecta","Hymenoptera","Apocrita","Formicidae","Dolichoderinae","Dolichoderus",NA
"125930","Culicidae","Insecta","Diptera","Nematocera","Culicidae",NA,NA,NA
"142604","Tephritidae","Insecta","Diptera","Brachycera","Tephritidae",NA,NA,NA
"678511","Cetoniinae","Insecta","Coleoptera","Polyphaga","Scarabaeidae","Cetoniinae",NA,NA
"102363","Oecanthus","Insecta","Orthoptera","Ensifera","Oecanthidae","Oecanthinae","Oecanthus",NA
"1012454","Phalangiidae","Euchelicerata","Opiliones","Eupnoi","Phalangiidae",NA,NA,NA
"102281","Gryllidae","Insecta","Orthoptera","Ensifera","Gryllidae",NA,NA,NA
"108529","Boisea trivittata","Insecta","Hemiptera","Heteroptera","Rhopalidae","Serinethinae","Boisea","Boisea trivittata"
"871518","Clubionidae","Euchelicerata","Araneae",NA,"Clubionidae",NA,NA,NA
"103251","Perlesta","Insecta","Plecoptera","Systellognatha","Perlidae","Acroneuriinae","Perlesta",NA
"834498","Rhagonycha mollis","Insecta","Coleoptera","Polyphaga","Cantharidae","Cantharinae","Rhagonycha","Rhagonycha mollis"
"113837","Cantharidae","Insecta","Coleoptera","Polyphaga","Cantharidae",NA,NA,NA
"113265","Staphylinidae","Insecta","Coleoptera","Polyphaga","Staphylinidae",NA,NA,NA
"115080","Hemerobiidae","Insecta","Neuroptera","Hemerobiiformia","Hemerobiidae",NA,NA,NA
"82740","Theridiidae","Euchelicerata","Araneae",NA,"Theridiidae",NA,NA,NA
"103359","Hemiptera","Insecta","Hemiptera",NA,NA,NA,NA,NA
"834309","Rhagonycha","Insecta","Coleoptera","Polyphaga","Cantharidae","Cantharinae","Rhagonycha",NA
"109185","Sternorrhyncha","Insecta","Hemiptera","Sternorrhyncha",NA,NA,NA,NA
"104177","Tingidae","Insecta","Hemiptera","Heteroptera","Tingidae",NA,NA,NA
"114387","Meloidae","Insecta","Coleoptera","Polyphaga","Meloidae",NA,NA,NA
"109173","Fulgoroidea","Insecta","Hemiptera","Auchenorrhyncha",NA,NA,NA,NA
"152643","Tachinidae","Insecta","Diptera","Brachycera","Tachinidae",NA,NA,NA
"121315","Plecia nearctica","Insecta","Diptera","Nematocera","Pleciidae",NA,"Plecia","Plecia nearctica"
"666619","Mantis religiosa","Insecta","Mantodea","Mantodea","Mantidae",NA,"Mantis","Mantis religiosa"
"153968","Torymidae","Insecta","Hymenoptera","Apocrita","Torymidae",NA,NA,NA
"115081","Chrysopidae","Insecta","Neuroptera","Hemerobiiformia","Chrysopidae",NA,NA,NA
"834312","Malthinus","Insecta","Coleoptera","Polyphaga","Cantharidae","Malthininae","Malthinus",NA
"721722","Emesinae","Insecta","Hemiptera","Heteroptera","Reduviidae","Emesinae",NA,NA
"102456","Forficulidae","Insecta","Dermaptera","Eudermaptera","Forficulidae",NA,NA,NA
"99237","Collembola","Collembola","Collembola",NA,NA,NA,NA,NA
"125351","Psychodidae","Insecta","Diptera","Nematocera","Psychodidae",NA,NA,NA
"130150","Stratiomyidae","Insecta","Diptera","Brachycera","Stratiomyidae",NA,NA,NA
"152747","Pamphiliidae","Insecta","Hymenoptera","Symphyta","Pamphiliidae",NA,NA,NA
"103350","Aeolothripidae","Insecta","Thysanoptera","Terebrantia","Aeolothripidae",NA,NA,NA
"692602","Harmonia axyridis","Insecta","Coleoptera","Polyphaga","Coccinellidae","Coccinellinae","Harmonia","Harmonia axyridis"
"154021","Chalcididae","Insecta","Hymenoptera","Apocrita","Chalcididae",NA,NA,NA
"153770","Eulophidae","Insecta","Hymenoptera","Apocrita","Eulophidae",NA,NA,NA
"109179","Fulgoridae","Insecta","Hemiptera","Auchenorrhyncha","Fulgoridae",NA,NA,NA
"114273","Ptilodactyla","Insecta","Coleoptera","Polyphaga","Ptilodactylidae","Ptilodactylinae","Ptilodactyla",NA
"574209","Ponera","Insecta","Hymenoptera","Apocrita","Formicidae","Ponerinae","Ponera",NA
"118832","Nematocera","Insecta","Diptera","Nematocera",NA,NA,NA,NA
"678807","Cryptocephalinae","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Cryptocephalinae",NA,NA
"82753","Opiliones","Euchelicerata","Opiliones",NA,NA,NA,NA,NA
"678376","Stenotrachelidae","Insecta","Coleoptera","Polyphaga","Stenotrachelidae",NA,NA,NA
"114999","Neuroptera","Insecta","Neuroptera",NA,NA,NA,NA,NA
"103348","Thysanoptera","Insecta","Thysanoptera",NA,NA,NA,NA,NA
"928929","Popillia japonica","Insecta","Coleoptera","Polyphaga","Scarabaeidae","Rutelinae","Popillia","Popillia japonica"
"152650","Lipoptena","Insecta","Diptera","Brachycera","Hippoboscidae","Hippoboscinae","Lipoptena",NA
"692589","Psyllobora vigintimaculata","Insecta","Coleoptera","Polyphaga","Coccinellidae","Coccinellinae","Psyllobora","Psyllobora vigintimaculata"
"872750","Peckhamia","Euchelicerata","Araneae",NA,"Salticidae",NA,"Peckhamia",NA
"678830","Scolytinae","Insecta","Coleoptera","Polyphaga","Curculionidae","Scolytinae",NA,NA
"107202","Reduviidae","Insecta","Hemiptera","Heteroptera","Reduviidae",NA,NA,NA
"108628","Pentatomidae","Insecta","Hemiptera","Heteroptera","Pentatomidae",NA,NA,NA
"914220","Mantodea","Insecta","Mantodea",NA,NA,NA,NA,NA
"99208","Insecta","Insecta",NA,NA,NA,NA,NA,NA
"102160","Orthoptera","Insecta","Orthoptera",NA,NA,NA,NA,NA
"153360","Ichneumonidae","Insecta","Hymenoptera","Apocrita","Ichneumonidae",NA,NA,NA
"848656","Leucauge","Euchelicerata","Araneae",NA,"Tetragnathidae",NA,"Leucauge",NA
"657454","Acrididea","Insecta","Orthoptera","Caelifera",NA,NA,NA,NA
"650554","Phyllopalpus pulchellus","Insecta","Orthoptera","Ensifera","Trigonidiidae","Trigonidiinae","Phyllopalpus","Phyllopalpus pulchellus"
"956002","Prosapia bicincta","Insecta","Hemiptera","Auchenorrhyncha","Cercopidae","Cercopinae","Prosapia","Prosapia bicincta"
"114497","Cerambycidae","Insecta","Coleoptera","Polyphaga","Cerambycidae",NA,NA,NA
"117318","Noctuidae","Insecta","Lepidoptera",NA,"Noctuidae",NA,NA,NA
"870185","Verrucosa arenata","Euchelicerata","Araneae",NA,"Araneidae",NA,"Verrucosa","Verrucosa arenata"
"154198","Camponotus pennsylvanicus","Insecta","Hymenoptera","Apocrita","Formicidae","Formicinae","Camponotus","Camponotus pennsylvanicus"
"109186","Psylloidea","Insecta","Hemiptera","Sternorrhyncha",NA,NA,NA,NA
"114476","Bostrichidae","Insecta","Coleoptera","Polyphaga","Bostrichidae",NA,NA,NA
"102467","Plecoptera","Insecta","Plecoptera",NA,NA,NA,NA,NA
"146893","Ephydridae","Insecta","Diptera","Brachycera","Ephydridae",NA,NA,NA
"871519","Corinnidae","Euchelicerata","Araneae",NA,"Corinnidae",NA,NA,NA
"847731","Lycosidae","Euchelicerata","Araneae",NA,"Lycosidae",NA,NA,NA
"93249","Armadillidium","Malacostraca","Isopoda","Oniscidea","Armadillidiidae",NA,"Armadillidium",NA
"657660","Ceuthophilus","Insecta","Orthoptera","Ensifera","Rhaphidophoridae","Ceuthophilinae","Ceuthophilus",NA
"650504","Rhaphidophoridae","Insecta","Orthoptera","Ensifera","Rhaphidophoridae",NA,NA,NA
"154394","Apidae","Insecta","Hymenoptera","Apocrita","Apidae",NA,NA,NA
"186048","Anisolabis maritima","Insecta","Dermaptera","Catadermaptera","Carcinophoridae","Carcinophorinae","Anisolabis","Anisolabis maritima"
"114327","Cerylonidae","Insecta","Coleoptera","Polyphaga","Cerylonidae",NA,NA,NA
"108550","Cydnidae","Insecta","Hemiptera","Heteroptera","Cydnidae",NA,NA,NA
"555700","Lithobiidae","Chilopoda","Lithobiomorpha",NA,"Lithobiidae",NA,NA,NA
"154418","Julida","Diplopoda","Julida",NA,NA,NA,NA,NA
"570770","Apheloria tigana","Diplopoda","Polydesmida","Chelodesmidea","Xystodesmidae",NA,"Apheloria","Apheloria tigana"
"130052","Brachycera","Insecta","Diptera","Brachycera",NA,NA,NA,NA
"125886","Chaoboridae","Insecta","Diptera","Nematocera","Chaoboridae",NA,NA,NA
"93267","Porcellio","Malacostraca","Isopoda","Oniscidea","Porcellionidae",NA,"Porcellio",NA
"684736","Trachelipus rathkii","Malacostraca","Isopoda","Oniscidea","Trachelipodidae",NA,"Trachelipus","Trachelipus rathkii"
