"","datetime","tempC","site"
"1",2022-05-16 14:00:00,28.357,"DF"
"2",2022-05-16 15:00:00,28.456,"DF"
"3",2022-05-16 16:00:00,21.951,"DF"
"4",2022-05-16 17:00:00,20.805,"DF"
"5",2022-05-16 18:00:00,19.282,"DF"
"6",2022-05-16 19:00:00,19.948,"DF"
"7",2022-05-16 20:00:00,19.853,"DF"
"8",2022-05-16 21:00:00,18.996,"DF"
"9",2022-05-16 22:00:00,18.236,"DF"
"10",2022-05-16 23:00:00,16.903,"DF"
"11",2022-05-17 00:00:00,15.951,"DF"
"12",2022-05-17 01:00:00,15.282,"DF"
"13",2022-05-17 02:00:00,14.038,"DF"
"14",2022-05-17 03:00:00,13.269,"DF"
"15",2022-05-17 04:00:00,12.497,"DF"
"16",2022-05-17 05:00:00,12.11,"DF"
"17",2022-05-17 06:00:00,11.528,"DF"
"18",2022-05-17 07:00:00,11.528,"DF"
"19",2022-05-17 08:00:00,13.558,"DF"
"20",2022-05-17 09:00:00,18.045,"DF"
"21",2022-05-17 10:00:00,20.805,"DF"
"22",2022-05-17 11:00:00,23.1,"DF"
"23",2022-05-17 12:00:00,24.931,"DF"
"24",2022-05-17 13:00:00,25.902,"DF"
"25",2022-05-17 14:00:00,26.781,"DF"
"26",2022-05-17 15:00:00,27.37,"DF"
"27",2022-05-17 16:00:00,27.961,"DF"
"28",2022-05-17 17:00:00,27.665,"DF"
"29",2022-05-17 18:00:00,27.468,"DF"
"30",2022-05-17 19:00:00,24.448,"DF"
"31",2022-05-17 20:00:00,20.519,"DF"
"32",2022-05-17 21:00:00,18.236,"DF"
"33",2022-05-17 22:00:00,16.713,"DF"
"34",2022-05-17 23:00:00,15.855,"DF"
"35",2022-05-18 00:00:00,15.282,"DF"
"36",2022-05-18 01:00:00,14.613,"DF"
"37",2022-05-18 02:00:00,14.038,"DF"
"38",2022-05-18 03:00:00,13.654,"DF"
"39",2022-05-18 04:00:00,13.461,"DF"
"40",2022-05-18 05:00:00,12.883,"DF"
"41",2022-05-18 06:00:00,12.594,"DF"
"42",2022-05-18 07:00:00,12.883,"DF"
"43",2022-05-18 08:00:00,15.378,"DF"
"44",2022-05-18 09:00:00,18.901,"DF"
"45",2022-05-18 10:00:00,20.71,"DF"
"46",2022-05-18 11:00:00,23.004,"DF"
"47",2022-05-18 12:00:00,24.738,"DF"
"48",2022-05-18 13:00:00,26.879,"DF"
"49",2022-05-18 14:00:00,27.468,"DF"
"50",2022-05-18 15:00:00,27.665,"DF"
"51",2022-05-18 16:00:00,27.764,"DF"
"52",2022-05-18 17:00:00,27.272,"DF"
"53",2022-05-18 18:00:00,26.292,"DF"
"54",2022-05-18 19:00:00,24.835,"DF"
"55",2022-05-18 20:00:00,22.142,"DF"
"56",2022-05-18 21:00:00,20.043,"DF"
"57",2022-05-18 22:00:00,18.806,"DF"
"58",2022-05-18 23:00:00,18.236,"DF"
"59",2022-05-19 00:00:00,18.806,"DF"
"60",2022-05-19 01:00:00,19.758,"DF"
"61",2022-05-19 02:00:00,20.329,"DF"
"62",2022-05-19 03:00:00,20.138,"DF"
"63",2022-05-19 04:00:00,20.043,"DF"
"64",2022-05-19 05:00:00,19.853,"DF"
"65",2022-05-19 06:00:00,19.472,"DF"
"66",2022-05-19 07:00:00,19.187,"DF"
"67",2022-05-19 08:00:00,20.805,"DF"
"68",2022-05-19 09:00:00,22.717,"DF"
"69",2022-05-19 10:00:00,24.835,"DF"
"70",2022-05-19 11:00:00,27.075,"DF"
"71",2022-05-19 12:00:00,28.953,"DF"
"72",2022-05-19 13:00:00,30.054,"DF"
"73",2022-05-19 14:00:00,30.659,"DF"
"74",2022-05-19 15:00:00,30.862,"DF"
"75",2022-05-19 16:00:00,32.086,"DF"
"76",2022-05-19 17:00:00,30.054,"DF"
"77",2022-05-19 18:00:00,29.752,"DF"
"78",2022-05-19 19:00:00,27.862,"DF"
"79",2022-05-19 20:00:00,25.708,"DF"
"80",2022-05-19 21:00:00,23.677,"DF"
"81",2022-05-19 22:00:00,22.525,"DF"
"82",2022-05-19 23:00:00,22.333,"DF"
"83",2022-05-20 00:00:00,18.806,"DF"
"84",2022-05-20 01:00:00,19.092,"DF"
"85",2022-05-20 02:00:00,18.711,"DF"
"86",2022-05-20 03:00:00,18.426,"DF"
"87",2022-05-20 04:00:00,17.95,"DF"
"88",2022-05-20 05:00:00,17.665,"DF"
"89",2022-05-20 06:00:00,17.379,"DF"
"90",2022-05-20 07:00:00,17.379,"DF"
"91",2022-05-20 08:00:00,18.331,"DF"
"92",2022-05-20 09:00:00,21.187,"DF"
"93",2022-05-20 10:00:00,23.388,"DF"
"94",2022-05-20 11:00:00,25.513,"DF"
"95",2022-05-20 12:00:00,28.357,"DF"
"96",2022-05-20 13:00:00,29.452,"DF"
"97",2022-05-20 14:00:00,30.356,"DF"
"98",2022-05-20 15:00:00,31.37,"DF"
"99",2022-05-20 16:00:00,31.37,"DF"
"100",2022-05-20 17:00:00,30.255,"DF"
"101",2022-05-20 18:00:00,30.054,"DF"
"102",2022-05-20 19:00:00,28.456,"DF"
"103",2022-05-20 20:00:00,25.028,"DF"
"104",2022-05-20 21:00:00,23.004,"DF"
"105",2022-05-20 22:00:00,22.046,"DF"
"106",2022-05-20 23:00:00,21.951,"DF"
"107",2022-05-21 00:00:00,21.282,"DF"
"108",2022-05-21 01:00:00,20.71,"DF"
"109",2022-05-21 02:00:00,20.329,"DF"
"110",2022-05-21 03:00:00,20.519,"DF"
"111",2022-05-21 04:00:00,20.234,"DF"
"112",2022-05-21 05:00:00,19.948,"DF"
"113",2022-05-21 06:00:00,19.472,"DF"
"114",2022-05-21 07:00:00,19.662,"DF"
"115",2022-05-21 08:00:00,21.951,"DF"
"116",2022-05-21 09:00:00,24.158,"DF"
"117",2022-05-21 10:00:00,26.488,"DF"
"118",2022-05-21 11:00:00,28.258,"DF"
"119",2022-05-21 12:00:00,29.152,"DF"
"120",2022-05-21 13:00:00,30.356,"DF"
"121",2022-05-21 14:00:00,30.558,"DF"
"122",2022-05-21 15:00:00,29.752,"DF"
"123",2022-05-21 16:00:00,28.456,"DF"
"124",2022-05-21 17:00:00,28.159,"DF"
"125",2022-05-21 18:00:00,25.708,"DF"
"126",2022-05-21 19:00:00,21.855,"DF"
"127",2022-05-21 20:00:00,21.473,"DF"
"128",2022-05-21 21:00:00,20.901,"DF"
"129",2022-05-21 22:00:00,19.948,"DF"
"130",2022-05-21 23:00:00,19.853,"DF"
"131",2022-05-22 00:00:00,19.377,"DF"
"132",2022-05-22 01:00:00,18.996,"DF"
"133",2022-05-22 02:00:00,18.806,"DF"
"134",2022-05-22 03:00:00,18.711,"DF"
"135",2022-05-22 04:00:00,19.092,"DF"
"136",2022-05-22 05:00:00,20.043,"DF"
"137",2022-05-22 06:00:00,20.519,"DF"
"138",2022-05-22 07:00:00,20.615,"DF"
"139",2022-05-22 08:00:00,21.187,"DF"
"140",2022-05-22 09:00:00,21.569,"DF"
"141",2022-05-22 10:00:00,22.908,"DF"
"142",2022-05-22 11:00:00,25.805,"DF"
"143",2022-05-22 12:00:00,27.37,"DF"
"144",2022-05-22 13:00:00,28.953,"DF"
"145",2022-05-22 14:00:00,29.552,"DF"
"146",2022-05-22 15:00:00,30.862,"DF"
"147",2022-05-22 16:00:00,30.356,"DF"
"148",2022-05-22 17:00:00,28.357,"DF"
"149",2022-05-22 18:00:00,26.488,"DF"
"150",2022-05-22 19:00:00,25.902,"DF"
"151",2022-05-22 20:00:00,24.351,"DF"
"152",2022-05-22 21:00:00,24.062,"DF"
"153",2022-05-22 22:00:00,21.76,"DF"
"154",2022-05-22 23:00:00,20.996,"DF"
"155",2022-05-23 00:00:00,20.901,"DF"
"156",2022-05-23 01:00:00,20.519,"DF"
"157",2022-05-23 02:00:00,20.043,"DF"
"158",2022-05-23 03:00:00,20.138,"DF"
"159",2022-05-23 04:00:00,20.71,"DF"
"160",2022-05-23 05:00:00,19.567,"DF"
"161",2022-05-23 06:00:00,19.377,"DF"
"162",2022-05-23 07:00:00,19.187,"DF"
"163",2022-05-23 08:00:00,21.473,"DF"
"164",2022-05-23 09:00:00,23.292,"DF"
"165",2022-05-23 10:00:00,24.448,"DF"
"166",2022-05-23 11:00:00,25.319,"DF"
"167",2022-05-23 12:00:00,26.683,"DF"
"168",2022-05-23 13:00:00,25.319,"DF"
"169",2022-05-23 14:00:00,27.075,"DF"
"170",2022-05-23 15:00:00,25.222,"DF"
"171",2022-05-23 16:00:00,21.282,"DF"
"172",2022-05-23 17:00:00,20.71,"DF"
"173",2022-05-23 18:00:00,21.091,"DF"
"174",2022-05-23 19:00:00,20.805,"DF"
"175",2022-05-23 20:00:00,20.424,"DF"
"176",2022-05-23 21:00:00,20.043,"DF"
"177",2022-05-23 22:00:00,19.662,"DF"
"178",2022-05-23 23:00:00,19.377,"DF"
"179",2022-05-24 00:00:00,19.187,"DF"
"180",2022-05-24 01:00:00,19.187,"DF"
"181",2022-05-24 02:00:00,19.187,"DF"
"182",2022-05-24 03:00:00,19.187,"DF"
"183",2022-05-24 04:00:00,19.282,"DF"
"184",2022-05-24 05:00:00,19.567,"DF"
"185",2022-05-24 06:00:00,19.662,"DF"
"186",2022-05-24 07:00:00,19.758,"DF"
"187",2022-05-24 08:00:00,20.234,"DF"
"188",2022-05-24 09:00:00,20.519,"DF"
"189",2022-05-24 10:00:00,21.091,"DF"
