TreeID,CCID,CircleFK,Species
IRS,6571,DF1,Carpinus caroliniana
IRR,6570,DF1,Carpinus caroliniana
IRQ,6569,DF1,Fagus grandifolia
IRP,6568,DF1,Fagus grandifolia
IRO,6567,DF1,Carpinus caroliniana
IRX,6576,DF2,Fagus grandifolia
IRW,6575,DF2,Carpinus caroliniana
IRV,6574,DF2,Fagus grandifolia
IRU,6573,DF2,Fagus grandifolia
IRT,6572,DF2,Fagus grandifolia
ISC,6581,DF3,Fagus grandifolia
ISB,6580,DF3,Fagus grandifolia
ISA,6579,DF3,Fagus grandifolia
IRZ,6578,DF3,Acer rubrum
IRY,6577,DF3,Acer rubrum
ISH,6586,DF4,Fagus grandifolia
ISG,6585,DF4,Hamamelis virginiana
ISF,6584,DF4,Cornus florida
ISE,6583,DF4,Carpinus caroliniana
ISD,6582,DF4,Acer rubrum
ISM,6591,DF5,Cornus florida
ISL,6590,DF5,Fagus grandifolia
ISK,6589,DF5,Fagus grandifolia
ISJ,6588,DF5,Cornus florida
ISI,6587,DF5,Acer rubrum
JAL,,ERSP1,Carpinus caroliniana
JAM,,ERSP1,Ulmus rubra
JAN,,ERSP1,Fagus grandifolia
JAO,,ERSP1,Fagus grandifolia
JAP,,ERSP1,Ulmus rubra
JAQ,,ERSP2,Ulmus rubra
JAR,,ERSP2,Acer rubrum
JAS,,ERSP2,Carpinus caroliniana
JAT,,ERSP2,Fagus grandifolia
JAU,,ERSP2,Fagus grandifolia
JAV,,ERSP3,Ulmus rubra
JAW,,ERSP3,Acer saccharum
JAX,,ERSP3,Carpinus caroliniana
JAY,,ERSP3,Carpinus caroliniana
JAZ,,ERSP3,Fagus grandifolia
JBA,,ERSP4,Acer saccharum
JBB,,ERSP4,Fagus grandifolia
JBC,,ERSP4,Acer saccharum
JBD,,ERSP4,Carpinus caroliniana
JBE,,ERSP4,Carpinus caroliniana
JBK,,ERSP6,Aesculus pavia
JBL,,ERSP6,Aesculus pavia
JBM,,ERSP6,Fagus grandifolia
JBN,,ERSP6,Carpinus caroliniana
JBO,,ERSP6,Aesculus pavia
FDQ,6513,JMNP1,Acer saccharum
FDP,6512,JMNP1,Carpinus caroliniana
FDO,6511,JMNP1,Carpinus caroliniana
FDN,6510,JMNP1,Southern sugar maple
FDM,6509,JMNP1,Carpinus caroliniana
FDV,6518,JMNP2,Carpinus caroliniana
FDU,6517,JMNP2,Acer rubrum
FDT,6516,JMNP2,Fagus grandifolia
FDS,6515,JMNP2,Carpinus caroliniana
FDR,6514,JMNP2,Fagus grandifolia
FEA,6523,JMNP3,Fagus grandifolia
FDZ,6522,JMNP3,Oxydendrum arboreum
FDY,6521,JMNP3,Fagus grandifolia
FDX,6520,JMNP3,Fagus grandifolia
